SiteCode,CommodityName,ContainedMetal,Longitude,Latitude
S0000001,Gold,903.5,122.480745,-28.565092
S0000002,Gold,379.48,118.574407,-26.78737
S0000002,Gold,379.48,118.574407,-26.78737
S0000002,Gold,108.16,118.574407,-26.78737
S0000002,Gold,108.16,118.574407,-26.78737
S0000002,Gold,361.68,118.574407,-26.78737
S0000002,Gold,361.68,118.574407,-26.78737
S0000002,Gold,675.0,118.574407,-26.78737
S0000002,Gold,675.0,118.574407,-26.78737
S0000002,Gold,171.0,118.574407,-26.78737
S0000002,Gold,171.0,118.574407,-26.78737
S0000002,Gold,1103.52,118.574407,-26.78737
S0000002,Gold,1103.52,118.574407,-26.78737
S0000005,Gold,80.63,121.012802,-29.69063
S0000005,Gold,88.92,121.012802,-29.69063
S0000006,Gold,134.52,121.222783,-30.239151
S0000006,Gold,73.44,121.222783,-30.239151
S0000007,Gold,491.52,117.920153,-33.574907
S0000007,Gold,367.84,117.920153,-33.574907
S0000007,Gold,536.8,117.920153,-33.574907
S0000007,Gold,3759.0,117.920153,-33.574907
S0000007,Gold,489.9,117.920153,-33.574907
S0000007,Gold,493.829,117.920153,-33.574907
S0000007,Gold,3422.348,117.920153,-33.574907
S0000007,Gold,259.869,117.920153,-33.574907
S0000007,Gold,512.953,117.920153,-33.574907
S0000007,Gold,3705.24,117.920153,-33.574907
S0000007,Gold,364.822,117.920153,-33.574907
S0000008,Gold,986.7,117.908142,-33.54337
S0000008,Gold,1209.6,117.908142,-33.54337
S0000008,Gold,5335.4,117.908142,-33.54337
S0000008,Gold,1911.6,117.908142,-33.54337
S0000008,Gold,1116.0,117.908142,-33.54337
S0000008,Gold,5377.424,117.908142,-33.54337
S0000008,Gold,1983.3,117.908142,-33.54337
S0000008,Gold,2453.745,117.908142,-33.54337
S0000008,Gold,3953.777,117.908142,-33.54337
S0000008,Gold,3632.499,117.908142,-33.54337
S0000008,Gold,4955.784,117.908142,-33.54337
S0000008,Gold,4126.758,117.908142,-33.54337
S0000008,Gold,5155.06,117.908142,-33.54337
S0000008,Gold,4929.683,117.908142,-33.54337
S0000008,Gold,7515.904,117.908142,-33.54337
S0000008,Gold,5662.702,117.908142,-33.54337
S0000008,Gold,785.98,117.908142,-33.54337
S0000008,Gold,1624.497,117.908142,-33.54337
S0000011,Gold,3108.0,120.2117,-20.9307
S0000012,Gold,1336.0,122.3125,-27.963344
S0000012,Gold,1336.0,122.3125,-27.963344
S0000012,Gold,6386.0,122.3125,-27.963344
S0000012,Gold,6386.0,122.3125,-27.963344
S0000012,Gold,1060.0,122.3125,-27.963344
S0000012,Gold,1060.0,122.3125,-27.963344
S0000012,Gold,4176.0,122.3125,-27.963344
S0000012,Gold,4176.0,122.3125,-27.963344
S0000012,Gold,8832.0,122.3125,-27.963344
S0000012,Gold,8832.0,122.3125,-27.963344
S0000012,Gold,1805.0,122.3125,-27.963344
S0000012,Gold,1805.0,122.3125,-27.963344
S0000012,Gold,4176.0,122.3125,-27.963344
S0000012,Gold,4176.0,122.3125,-27.963344
S0000012,Gold,4880.0,122.3125,-27.963344
S0000012,Gold,4880.0,122.3125,-27.963344
S0000012,Gold,8841.6,122.3125,-27.963344
S0000012,Gold,8841.6,122.3125,-27.963344
S0000012,Gold,1805.0,122.3125,-27.963344
S0000012,Gold,1805.0,122.3125,-27.963344
S0000012,Gold,10593.0,122.3125,-27.963344
S0000012,Gold,10593.0,122.3125,-27.963344
S0000012,Gold,658.0,122.3125,-27.963344
S0000012,Gold,658.0,122.3125,-27.963344
S0000012,Gold,4420.0,122.3125,-27.963344
S0000012,Gold,4420.0,122.3125,-27.963344
S0000012,Gold,0.0,122.3125,-27.963344
S0000012,Gold,0.0,122.3125,-27.963344
S0000012,Gold,12000.0,122.3125,-27.963344
S0000012,Gold,12000.0,122.3125,-27.963344
S0000012,Gold,0.0,122.3125,-27.963344
S0000012,Gold,0.0,122.3125,-27.963344
S0000012,Gold,800.0,122.3125,-27.963344
S0000012,Gold,800.0,122.3125,-27.963344
