,ni_ppm,cu_ppm,co_ppm,pd_ppm,au_ppm,pt_ppm,rh_ppm,fe_ppm,s_ppm,ag_ppm,latitude,longitude
ni_ppm,1.0,0.0503933751165903,0.7296254421753376,0.08803083101359367,0.19094922249599142,0.20237597759615747,,0.24473718388062266,-0.03945748138752856,0.007193823016046823,0.25237961352791966,-0.272395787280925
cu_ppm,0.0503933751165903,1.0,0.0045656502805097796,0.5309010961740137,0.009309643388941075,0.3253212818024821,,-0.01972860852266411,-0.06553500179477668,0.10672967905677389,0.413760038950531,-0.4366957903941796
co_ppm,0.7296254421753376,0.0045656502805097796,1.0,0.042468259007001664,0.0701992506406949,0.16031753104955224,,0.34264195598205077,-0.07983279461502048,-0.006236214702562885,0.3848007705950026,-0.41001695102851915
pd_ppm,0.08803083101359367,0.5309010961740137,0.042468259007001664,1.0,0.05190106368150125,0.3998741861763223,,-0.05866496904560997,-0.033263552974388766,0.026932022645389925,0.257973458503006,-0.2700578635301487
au_ppm,0.19094922249599142,0.009309643388941075,0.0701992506406949,0.05190106368150125,1.0,0.11967841772519532,,-0.028058679110578348,0.06119333792026833,0.007149549446002555,0.05529661137388613,-0.031277372846573545
pt_ppm,0.20237597759615747,0.3253212818024821,0.16031753104955224,0.3998741861763223,0.11967841772519532,1.0,,-0.0551827420296941,-0.03708265593215805,0.02620610404499216,0.2520472654285709,-0.27667107063450447
rh_ppm,,,,,,,,,,,,
fe_ppm,0.24473718388062266,-0.01972860852266411,0.34264195598205077,-0.05866496904560997,-0.028058679110578348,-0.0551827420296941,,1.0,0.007687854173199309,0.041268504412504334,-0.002936270433760779,0.002622538989190963
s_ppm,-0.03945748138752856,-0.06553500179477668,-0.07983279461502048,-0.033263552974388766,0.06119333792026833,-0.03708265593215805,,0.007687854173199309,1.0,-0.01987527664510809,-0.06523094061546363,0.08058205240656968
ag_ppm,0.007193823016046823,0.10672967905677389,-0.006236214702562885,0.026932022645389925,0.007149549446002555,0.02620610404499216,,0.041268504412504334,-0.01987527664510809,1.0,0.09873593657284226,-0.04571808989878292
latitude,0.25237961352791966,0.413760038950531,0.3848007705950026,0.257973458503006,0.05529661137388613,0.2520472654285709,,-0.002936270433760779,-0.06523094061546363,0.09873593657284226,1.0,-0.9182150139674282
longitude,-0.272395787280925,-0.4366957903941796,-0.41001695102851915,-0.2700578635301487,-0.031277372846573545,-0.27667107063450447,,0.002622538989190963,0.08058205240656968,-0.04571808989878292,-0.9182150139674282,1.0
