,Ni_PPM,Cu_PPM,Co_PPM,Pd_PPM,Au_PPM,Pt_PPM,Rh_PPM,Fe_PPM,S_PPM,Ag_PPM,wamex_lon,wamex_lat,dataframe
Ni_PPM,1.0,0.006320301603064648,0.004831804692399675,0.01035354324364105,-0.004399536797890112,0.08125835561612212,0.0828971098145917,-0.019564246301092623,0.04396785676995506,-0.02184514961013408,0.019487655196765204,-0.06378668178264629,WAMEX Drillhole
Cu_PPM,0.006320301603064648,1.0,0.46475036400833675,0.01600372601176239,0.012568643457061787,0.010054394983911363,0.000736169786970633,-0.001785581469078693,0.2617832505505617,-0.0017990083006349203,0.006592405355622104,-0.009947292985690328,WAMEX Drillhole
Co_PPM,0.004831804692399675,0.46475036400833675,1.0,0.1479968870057769,0.11673373654698822,0.09422970355187588,0.0005887711655329594,-0.0024822671556407523,0.14830657686105603,-0.002557950776541288,0.0049412510357406845,-0.015339308339416699,WAMEX Drillhole
Pd_PPM,0.01035354324364105,0.01600372601176239,0.1479968870057769,1.0,0.7536407655536976,0.6012641645237542,-7.076714710571432e-05,-0.0010755074727693804,0.10724315594209607,-0.001016555270375491,-0.0028760509350548324,0.004006976146781846,WAMEX Drillhole
Au_PPM,-0.004399536797890112,0.012568643457061787,0.11673373654698822,0.7536407655536976,1.0,0.48157179180402715,-0.00013535899119269249,-0.0007228540181328299,-0.00030160357938857635,0.01543996981959203,-0.010671499603164809,0.009242075957191797,WAMEX Drillhole
Pt_PPM,0.08125835561612212,0.010054394983911363,0.09422970355187588,0.6012641645237542,0.48157179180402715,1.0,-0.00029182175321366976,-0.0013026059015999267,0.0008342802475524821,-0.0012288268437751345,0.02673091941567632,0.012835440902952376,WAMEX Drillhole
Rh_PPM,0.0828971098145917,0.000736169786970633,0.0005887711655329594,-7.076714710571432e-05,-0.00013535899119269249,-0.00029182175321366976,1.0,-0.0016970106782612134,-0.00022826582564403473,-0.001692061253347522,0.004233929598741107,0.012160730030906241,WAMEX Drillhole
Fe_PPM,-0.019564246301092623,-0.001785581469078693,-0.0024822671556407523,-0.0010755074727693804,-0.0007228540181328299,-0.0013026059015999267,-0.0016970106782612134,1.0,-0.0013923914156140746,-0.0049415870559353335,0.01809802951393177,-0.061720606034580995,WAMEX Drillhole
S_PPM,0.04396785676995506,0.2617832505505617,0.14830657686105603,0.10724315594209607,-0.00030160357938857635,0.0008342802475524821,-0.00022826582564403473,-0.0013923914156140746,1.0,-0.001397259338330674,0.011970839525782973,0.0017169996145679042,WAMEX Drillhole
Ag_PPM,-0.02184514961013408,-0.0017990083006349203,-0.002557950776541288,-0.001016555270375491,0.01543996981959203,-0.0012288268437751345,-0.001692061253347522,-0.0049415870559353335,-0.001397259338330674,1.0,0.009822983264268049,-0.06289666725203219,WAMEX Drillhole
wamex_lon,0.019487655196765204,0.006592405355622104,0.0049412510357406845,-0.0028760509350548324,-0.010671499603164809,0.02673091941567632,0.004233929598741107,0.01809802951393177,0.011970839525782973,0.009822983264268049,1.0,0.11326937108023348,WAMEX Drillhole
wamex_lat,-0.06378668178264629,-0.009947292985690328,-0.015339308339416699,0.004006976146781846,0.009242075957191797,0.012835440902952376,0.012160730030906241,-0.061720606034580995,0.0017169996145679042,-0.06289666725203219,0.11326937108023348,1.0,WAMEX Drillhole
