,Ni,Cu,Co,Pd,Au,Pt,Rh,Fe,S,Ag,wamex_lat,wamex_lon,dataframe
Ni,1.0,0.01945145006643529,0.29323840239862164,0.009413311568541293,0.1461615189729333,-0.02239337009758828,0.00530124184561354,0.01467932275960036,0.009477423681897527,0.014855641983982345,0.0021044651774026995,0.04293458553840688,WAMEX Rockchip
Cu,0.01945145006643529,1.0,0.01659634259742885,0.003723004071033756,-0.010194115394039544,-0.0025901978497858704,0.0009468167413711327,-0.009478297285114146,0.013285788819164425,-0.0007970529637115934,0.01830765844688049,-0.01736074180235073,WAMEX Rockchip
Co,0.29323840239862164,0.01659634259742885,1.0,0.021103052206966916,-0.026063318917299304,-0.0005049980725718882,0.00013235463640672176,0.02258983560592304,0.03550813206672271,0.024333952483666273,0.005555496143814797,-0.008729352330396607,WAMEX Rockchip
Pd,0.009413311568541293,0.003723004071033756,0.021103052206966916,1.0,-0.004379121449407417,-0.0018360051245772955,-0.0004099200852850457,0.01505554253788014,0.0058915441065082955,-0.0008541777940232627,0.06198821743389906,0.04326649616630463,WAMEX Rockchip
Au,0.1461615189729333,-0.010194115394039544,-0.026063318917299304,-0.004379121449407417,1.0,-0.019026109191356676,-0.0038522288652665304,-0.044105560417664405,0.027936506665958868,0.129761267125236,0.09128049312700097,0.3794927280722204,WAMEX Rockchip
Pt,-0.02239337009758828,-0.0025901978497858704,-0.0005049980725718882,-0.0018360051245772955,-0.019026109191356676,1.0,-0.00040715614402330705,-0.037532312283056465,-0.004584662661453152,0.008987791824497828,0.04847207460135835,0.12006705546302678,WAMEX Rockchip
Rh,0.00530124184561354,0.0009468167413711327,0.00013235463640672176,-0.0004099200852850457,-0.0038522288652665304,-0.00040715614402330705,1.0,0.01007612829677426,-0.00023050360386232024,-0.0008189451157700416,5.227740688284104e-05,-0.008241218235866916,WAMEX Rockchip
Fe,0.01467932275960036,-0.009478297285114146,0.02258983560592304,0.01505554253788014,-0.044105560417664405,-0.037532312283056465,0.01007612829677426,1.0,0.005666700672781445,0.051108326286333536,0.0005816118377904658,-0.11269717966356953,WAMEX Rockchip
S,0.009477423681897527,0.013285788819164425,0.03550813206672271,0.0058915441065082955,0.027936506665958868,-0.004584662661453152,-0.00023050360386232024,0.005666700672781445,1.0,0.003245404668043628,0.020226768880658275,0.014857533917056976,WAMEX Rockchip
Ag,0.014855641983982345,-0.0007970529637115934,0.024333952483666273,-0.0008541777940232627,0.129761267125236,0.008987791824497828,-0.0008189451157700416,0.051108326286333536,0.003245404668043628,1.0,-0.003475412442109631,0.05652246886741665,WAMEX Rockchip
wamex_lat,0.0021044651774026995,0.01830765844688049,0.005555496143814797,0.06198821743389906,0.09128049312700097,0.04847207460135835,5.227740688284104e-05,0.0005816118377904658,0.020226768880658275,-0.003475412442109631,1.0,0.24690536707155022,WAMEX Rockchip
wamex_lon,0.04293458553840688,-0.01736074180235073,-0.008729352330396607,0.04326649616630463,0.3794927280722204,0.12006705546302678,-0.008241218235866916,-0.11269717966356953,0.014857533917056976,0.05652246886741665,0.24690536707155022,1.0,WAMEX Rockchip
