,ni_ppm,cu_ppm,co_ppm,pd_ppm,au_ppm,pt_ppm,rh_ppm,fe_ppm,s_ppm,ag_ppm,latitude,longitude
ni_ppm,1.0,0.04548643753675749,0.7477190644295306,0.08986598575813191,0.11418372171379512,0.18142278825573038,,0.28754253661546203,-0.03920683159724921,-0.0020545698496351405,0.26039366509443024,-0.28053689562889506
cu_ppm,0.04548643753675749,1.0,0.0032269723544013393,0.5224255794209769,0.010441393993420617,0.32731154809551355,,-0.018315380189303315,-0.06460740665949459,0.10421632723118011,0.410660622607446,-0.4325058645667975
co_ppm,0.7477190644295306,0.0032269723544013393,1.0,0.04104582696447917,0.03479869437277551,0.14578128093784457,,0.3494921794246505,-0.08015240415138868,-0.009339452817991017,0.38560083285474767,-0.40920869880957794
pd_ppm,0.08986598575813191,0.5224255794209769,0.04104582696447917,1.0,0.04581202787782335,0.39786934756331543,,-0.05821489288655032,-0.03229033668456954,0.02261105059085378,0.25518028636359075,-0.26647809056541666
au_ppm,0.11418372171379512,0.010441393993420617,0.03479869437277551,0.04581202787782335,1.0,0.09836983043971671,,-0.026903665761815868,0.06450019526660622,0.0027271562739185364,0.0481207256569567,-0.022561481377625363
pt_ppm,0.18142278825573038,0.32731154809551355,0.14578128093784457,0.39786934756331543,0.09836983043971671,1.0,,-0.054729218773273164,-0.03635383157849327,0.022852343840095476,0.24901262426397358,-0.2728963611523474
rh_ppm,,,,,,,,,,,,
fe_ppm,0.28754253661546203,-0.018315380189303315,0.3494921794246505,-0.05821489288655032,-0.026903665761815868,-0.054729218773273164,,1.0,0.006876452008568667,0.0416932377575594,-0.0020904566711503524,0.001094295612665217
s_ppm,-0.03920683159724921,-0.06460740665949459,-0.08015240415138868,-0.03229033668456954,0.06450019526660622,-0.03635383157849327,,0.006876452008568667,1.0,-0.020172425246808,-0.06408951732406395,0.08069081805280925
ag_ppm,-0.0020545698496351405,0.10421632723118011,-0.009339452817991017,0.02261105059085378,0.0027271562739185364,0.022852343840095476,,0.0416932377575594,-0.020172425246808,1.0,0.09858137551692535,-0.04643549510048451
latitude,0.26039366509443024,0.410660622607446,0.38560083285474767,0.25518028636359075,0.0481207256569567,0.24901262426397358,,-0.0020904566711503524,-0.06408951732406395,0.09858137551692535,1.0,-0.9179883903537503
longitude,-0.28053689562889506,-0.4325058645667975,-0.40920869880957794,-0.26647809056541666,-0.022561481377625363,-0.2728963611523474,,0.001094295612665217,0.08069081805280925,-0.04643549510048451,-0.9179883903537503,1.0
