,Ni_PPM,Cu_PPM,Co_PPM,Pd_PPM,Au_PPM,Pt_PPM,Rh_PPM,Fe_PPM,S_PPM,Ag_PPM,wamex_lon,wamex_lat,dataframe
Ni_PPM,1.0,0.0035254723069026743,0.0038808119345385412,0.06375954031023827,0.05809949667582992,0.028208766542142494,0.08891815683275499,0.0013027702816458394,0.04601412588292881,-0.028121933966210093,0.009069730508169747,-0.05121793921213821,WAMEX Drillhole
Cu_PPM,0.0035254723069026743,1.0,0.5020133247454122,-9.492940253397261e-05,-0.00031639807270804994,-0.0001817556646896965,0.0004479365233618113,-0.0004711904449502656,0.26295232503557014,-0.0022812850941960746,0.007979971426185041,-0.013378114195474855,WAMEX Drillhole
Co_PPM,0.0038808119345385412,0.5020133247454122,1.0,0.0002886722971882245,-0.0005650469140766077,-0.00023934451522464618,0.0005841365536035667,-0.0006090965715944815,0.16206988733399066,-0.0031719482221458577,0.007858282633028712,-0.016645893592561314,WAMEX Drillhole
Pd_PPM,0.06375954031023827,-9.492940253397261e-05,0.0002886722971882245,1.0,0.008985102398070337,0.024396518241003487,0.001041745913715614,-5.924166016041094e-05,0.4384940832915441,-0.0004122953428237092,0.002282089018529624,-0.0022225850582557253,WAMEX Drillhole
Au_PPM,0.05809949667582992,-0.00031639807270804994,-0.0005650469140766077,0.008985102398070337,1.0,0.004608444572712783,0.0009185622258112006,0.19835263096478026,0.003354802133882391,0.018777613541713194,-0.00011462110349621146,-0.006066582399690477,WAMEX Drillhole
Pt_PPM,0.028208766542142494,-0.0001817556646896965,-0.00023934451522464618,0.024396518241003487,0.004608444572712783,1.0,0.0012017202965205367,-0.0001560887914321191,0.010790907566249163,-0.0005694525736740409,0.02573862951624725,0.00737417869415541,WAMEX Drillhole
Rh_PPM,0.08891815683275499,0.0004479365233618113,0.0005841365536035667,0.001041745913715614,0.0009185622258112006,0.0012017202965205367,1.0,-0.0002585536006794006,-0.0003597285529614567,-0.0021618372104823384,0.008744539413869308,0.010161964177903894,WAMEX Drillhole
Fe_PPM,0.0013027702816458394,-0.0004711904449502656,-0.0006090965715944815,-5.924166016041094e-05,0.19835263096478026,-0.0001560887914321191,-0.0002585536006794006,1.0,-0.00031570274381321724,-0.0018775067629481343,0.005846723626839009,-0.02045553079471463,WAMEX Drillhole
S_PPM,0.04601412588292881,0.26295232503557014,0.16206988733399066,0.4384940832915441,0.003354802133882391,0.010790907566249163,-0.0003597285529614567,-0.00031570274381321724,1.0,-0.0019215167122768762,0.0154784770477289,0.0027656246121480024,WAMEX Drillhole
Ag_PPM,-0.028121933966210093,-0.0022812850941960746,-0.0031719482221458577,-0.0004122953428237092,0.018777613541713194,-0.0005694525736740409,-0.0021618372104823384,-0.0018775067629481343,-0.0019215167122768762,1.0,0.013139574066750637,-0.08222883636020309,WAMEX Drillhole
wamex_lon,0.009069730508169747,0.007979971426185041,0.007858282633028712,0.002282089018529624,-0.00011462110349621146,0.02573862951624725,0.008744539413869308,0.005846723626839009,0.0154784770477289,0.013139574066750637,1.0,0.2675133458778801,WAMEX Drillhole
wamex_lat,-0.05121793921213821,-0.013378114195474855,-0.016645893592561314,-0.0022225850582557253,-0.006066582399690477,0.00737417869415541,0.010161964177903894,-0.02045553079471463,0.0027656246121480024,-0.08222883636020309,0.2675133458778801,1.0,WAMEX Drillhole
