,Ni,Cu,Co,Pd,Au,Pt,Rh,Fe,S,Ag,wamex_lat,wamex_lon,dataframe
Ni,1.0,0.10837366782014667,0.2398536910230779,0.10537143170685419,-0.05935188162348702,0.0015001995932166622,-0.007068625137732133,-0.09167464812080059,0.002183931177116242,-0.015792337696217695,0.0635765760214253,0.26122878404437344,WAMEX Rockchip
Cu,0.10837366782014667,1.0,0.010296335050189866,0.10728279217541249,-0.015070080943572567,0.011516941193239882,0.007171541098693572,-0.022500029038379155,-0.007921528883199238,-0.0047757374546755745,0.19546157473229409,0.14486578235652647,WAMEX Rockchip
Co,0.2398536910230779,0.010296335050189866,1.0,0.0007368758470934816,-0.027864941088394476,0.03130776177058037,-0.005727537848219216,-0.015180430605983645,-0.005741317333170492,0.0359813193563274,-0.07002356595689359,0.09144054326536517,WAMEX Rockchip
Pd,0.10537143170685419,0.10728279217541249,0.0007368758470934816,1.0,-0.030815997706215622,0.1292492086784334,0.12496084664664209,-0.004896673559593962,-0.013294349131323982,-0.007690951514146354,0.002496233468825129,0.05788262336819774,WAMEX Rockchip
Au,-0.05935188162348702,-0.015070080943572567,-0.027864941088394476,-0.030815997706215622,1.0,-0.011699130645853595,-0.00648002179427612,-0.04205913313249517,-0.012326098781128753,-0.0038200298547892008,-0.11894900288524468,0.02658582263443411,WAMEX Rockchip
Pt,0.0015001995932166622,0.011516941193239882,0.03130776177058037,0.1292492086784334,-0.011699130645853595,1.0,0.02146105473920512,0.04654083829237433,-0.004412570660522198,0.28895723111135235,0.049993658466834956,-0.04406879371275904,WAMEX Rockchip
Rh,-0.007068625137732133,0.007171541098693572,-0.005727537848219216,0.12496084664664209,-0.00648002179427612,0.02146105473920512,1.0,0.014334444348184351,-0.002613389092276917,-0.0016699920049474653,0.006533618600292604,-0.005836874557579553,WAMEX Rockchip
Fe,-0.09167464812080059,-0.022500029038379155,-0.015180430605983645,-0.004896673559593962,-0.04205913313249517,0.04654083829237433,0.014334444348184351,1.0,0.027201174226150992,0.12278950223626399,-0.02353833968079237,0.019185429399325472,WAMEX Rockchip
S,0.002183931177116242,-0.007921528883199238,-0.005741317333170492,-0.013294349131323982,-0.012326098781128753,-0.004412570660522198,-0.002613389092276917,0.027201174226150992,1.0,-0.0038049124873890537,0.012901422290239986,-0.010057353412305675,WAMEX Rockchip
Ag,-0.015792337696217695,-0.0047757374546755745,0.0359813193563274,-0.007690951514146354,-0.0038200298547892008,0.28895723111135235,-0.0016699920049474653,0.12278950223626399,-0.0038049124873890537,1.0,-0.044333371088234486,0.060724753871260084,WAMEX Rockchip
wamex_lat,0.0635765760214253,0.19546157473229409,-0.07002356595689359,0.002496233468825129,-0.11894900288524468,0.049993658466834956,0.006533618600292604,-0.02353833968079237,0.012901422290239986,-0.044333371088234486,1.0,-0.07741092266587576,WAMEX Rockchip
wamex_lon,0.26122878404437344,0.14486578235652647,0.09144054326536517,0.05788262336819774,0.02658582263443411,-0.04406879371275904,-0.005836874557579553,0.019185429399325472,-0.010057353412305675,0.060724753871260084,-0.07741092266587576,1.0,WAMEX Rockchip
