,zn_ppm,ag_ppm,cu_ppm,pb_ppm,au_ppm,co_ppm,in_ppm,ge_ppm,latitude,longitude
zn_ppm,1.0,-0.01534803552692025,-0.20563323207941073,-0.06009384193230956,-0.04718706070210913,-0.050135029321798516,0.0056119878452893755,-0.06987802543252378,0.14353957950658028,-0.14633402301541013
ag_ppm,-0.01534803552692025,1.0,-0.01460275552919089,0.01652954265958595,0.04137161977326963,-0.007254776756259363,-0.004016924832306499,-0.004893535720860892,0.016227382169310817,-0.020322405876814317
cu_ppm,-0.20563323207941073,-0.01460275552919089,1.0,-0.0819355880841714,0.02225060088637315,0.0012711806619708846,0.05220567270018012,-0.01912727267546096,0.08526485619424909,-0.10967545827832884
pb_ppm,-0.06009384193230956,0.01652954265958595,-0.0819355880841714,1.0,0.06044568393340905,0.019220694417990042,-0.01859948734173685,0.01267345011826947,0.029675206657308408,-0.03590314438446899
au_ppm,-0.04718706070210913,0.04137161977326963,0.02225060088637315,0.06044568393340905,1.0,-0.0059702633261981995,-0.015007185102160547,-0.009424634411351697,0.037329956235403874,-0.050778895945466605
co_ppm,-0.050135029321798516,-0.007254776756259363,0.0012711806619708846,0.019220694417990042,-0.0059702633261981995,1.0,-0.005349861830265329,-0.018379614747357567,0.04150048089450997,-0.03868322765627808
in_ppm,0.0056119878452893755,-0.004016924832306499,0.05220567270018012,-0.01859948734173685,-0.015007185102160547,-0.005349861830265329,1.0,-0.009457992274203414,-0.13880514882617412,0.1478871780309808
ge_ppm,-0.06987802543252378,-0.004893535720860892,-0.01912727267546096,0.01267345011826947,-0.009424634411351697,-0.018379614747357567,-0.009457992274203414,1.0,-0.13742065699721057,0.1372346746231672
latitude,0.14353957950658028,0.016227382169310817,0.08526485619424909,0.029675206657308408,0.037329956235403874,0.04150048089450997,-0.13880514882617412,-0.13742065699721057,1.0,-0.8975149137470482
longitude,-0.14633402301541013,-0.020322405876814317,-0.10967545827832884,-0.03590314438446899,-0.050778895945466605,-0.03868322765627808,0.1478871780309808,0.1372346746231672,-0.8975149137470482,1.0
