,zn_ppm,ag_ppm,cu_ppm,pb_ppm,au_ppm,co_ppm,in_ppm,ge_ppm,latitude,longitude
zn_ppm,1.0,0.6340335861940463,-0.008127468614523086,-0.08268013064896193,-0.07463821042647889,0.03497793475083165,0.3777693719951364,-0.11013244937070837,0.0333444666238653,-0.16328194541715388
ag_ppm,0.6340335861940463,1.0,0.16189410534144566,-0.05845558622870345,-0.06229495156635101,0.07823073516319591,0.22002280127662235,-0.0920045121358854,-0.08672582423835871,-0.03797277303900893
cu_ppm,-0.008127468614523086,0.16189410534144566,1.0,-0.05617214889457863,-0.046104518569308035,0.42656212478279254,0.3168395533561018,-0.06762585990084986,0.04133434663170137,-0.10684590928301549
pb_ppm,-0.08268013064896193,-0.05845558622870345,-0.05617214889457863,1.0,0.4182735101521327,-0.08354582065124001,-0.07255958557285047,0.35662418945300356,-0.13422355107974684,0.025710666767246104
au_ppm,-0.07463821042647889,-0.06229495156635101,-0.046104518569308035,0.4182735101521327,1.0,-0.06934732162506092,-0.057763356739419965,0.21129924602602929,-0.1399787935313501,0.013995609285791999
co_ppm,0.03497793475083165,0.07823073516319591,0.42656212478279254,-0.08354582065124001,-0.06934732162506092,1.0,0.42266352879422336,-0.09993973952622531,0.16430111036636463,-0.23305391109796597
in_ppm,0.3777693719951364,0.22002280127662235,0.3168395533561018,-0.07255958557285047,-0.057763356739419965,0.42266352879422336,1.0,-0.0853698918317265,0.03300083524734542,-0.1473276112639723
ge_ppm,-0.11013244937070837,-0.0920045121358854,-0.06762585990084986,0.35662418945300356,0.21129924602602929,-0.09993973952622531,-0.0853698918317265,1.0,0.01163734817888567,-0.16002038624644815
latitude,0.0333444666238653,-0.08672582423835871,0.04133434663170137,-0.13422355107974684,-0.1399787935313501,0.16430111036636463,0.03300083524734542,0.01163734817888567,1.0,-0.7290192486783592
longitude,-0.16328194541715388,-0.03797277303900893,-0.10684590928301549,0.025710666767246104,0.013995609285791999,-0.23305391109796597,-0.1473276112639723,-0.16002038624644815,-0.7290192486783592,1.0
