,Zn_PPM,Ag_PPM,Cu_PPM,Pb_PPM,Au_PPM,Co_PPM,In_PPM,Ge_PPM,wamex_lat,wamex_lon
Zn_PPM,1.0,0.01051399160513732,0.006786901598248989,0.6242822986307283,0.0035350184756069935,0.39626899551266914,-0.003437759433875215,0.002521529744366969,0.13748783660754033,-0.1523180021728604
Ag_PPM,0.01051399160513732,1.0,0.1593263560414458,0.2670530324095986,0.09765075692781894,-0.010499075377720605,0.05095746272631273,0.08040737011080921,0.05602965818238881,-0.046623022674082165
Cu_PPM,0.006786901598248989,0.1593263560414458,1.0,0.02614842789115849,0.09867048222935698,0.0946664818080133,0.2674324232776226,0.02597882520142009,0.24146297239121628,-0.24568717931606535
Pb_PPM,0.6242822986307283,0.2670530324095986,0.02614842789115849,1.0,0.014487056598091776,0.4744316876093884,0.002167741551637738,0.0285013062921385,0.07561496270760264,-0.0997472557221431
Au_PPM,0.0035350184756069935,0.09765075692781894,0.09867048222935698,0.014487056598091776,1.0,-0.05068662885936095,0.026098207813634214,0.18092462009898466,0.1800281263945262,-0.21809052636024265
Co_PPM,0.39626899551266914,-0.010499075377720605,0.0946664818080133,0.4744316876093884,-0.05068662885936095,1.0,0.10290580609600729,-0.035207759221512105,0.2168959877445989,-0.1680102076631429
In_PPM,-0.003437759433875215,0.05095746272631273,0.2674324232776226,0.002167741551637738,0.026098207813634214,0.10290580609600729,1.0,0.22377066560794928,0.2540196585531886,-0.13756118520919153
Ge_PPM,0.002521529744366969,0.08040737011080921,0.02597882520142009,0.0285013062921385,0.18092462009898466,-0.035207759221512105,0.22377066560794928,1.0,0.0400893418700995,-0.08244284776997216
wamex_lat,0.13748783660754033,0.05602965818238881,0.24146297239121628,0.07561496270760264,0.1800281263945262,0.2168959877445989,0.2540196585531886,0.0400893418700995,1.0,-0.679004682505587
wamex_lon,-0.1523180021728604,-0.046623022674082165,-0.24568717931606535,-0.0997472557221431,-0.21809052636024265,-0.1680102076631429,-0.13756118520919153,-0.08244284776997216,-0.679004682505587,1.0
