,Zn,Ag,Cu,Pb,Au,Co,In,Ge,wamex_lat,wamex_lon
Zn,1.0,0.1079585721908527,0.14025340644678727,0.5456719669259553,0.0962630889806336,0.05604221145016012,0.45838133575428397,0.3550802808399068,-0.3004821848928109,-0.12422448936457953
Ag,0.1079585721908527,1.0,0.1280119063020621,0.030691574100262898,0.32053399582892567,0.17349026597713685,0.3880689010488443,0.4008557490396859,-0.025144568359000467,0.050647139748526936
Cu,0.14025340644678727,0.1280119063020621,1.0,0.11543047815530166,0.4795426653197197,0.6648662125871194,0.4064815861959297,0.5451800297702837,0.18902804345767388,-0.20943114559241777
Pb,0.5456719669259553,0.030691574100262898,0.11543047815530166,1.0,-0.023386270062788723,0.013395022688897737,0.2749877862373003,0.14251679982143664,-0.16458719130699448,-0.33205288790609583
Au,0.0962630889806336,0.32053399582892567,0.4795426653197197,-0.023386270062788723,1.0,0.5482562030387769,0.3846231146727271,0.40718750888224947,-0.1747666880794841,0.21767179232935677
Co,0.05604221145016012,0.17349026597713685,0.6648662125871194,0.013395022688897737,0.5482562030387769,1.0,0.40048234660258164,0.4549292817757272,0.215098214630405,-0.17693212367213487
In,0.45838133575428397,0.3880689010488443,0.4064815861959297,0.2749877862373003,0.3846231146727271,0.40048234660258164,1.0,0.6474116803066052,-0.130167896564009,-0.02702559145107122
Ge,0.3550802808399068,0.4008557490396859,0.5451800297702837,0.14251679982143664,0.40718750888224947,0.4549292817757272,0.6474116803066052,1.0,0.25609568554287876,-0.2936079077292456
wamex_lat,-0.3004821848928109,-0.025144568359000467,0.18902804345767388,-0.16458719130699448,-0.1747666880794841,0.215098214630405,-0.130167896564009,0.25609568554287876,1.0,-0.6712567249727582
wamex_lon,-0.12422448936457953,0.050647139748526936,-0.20943114559241777,-0.33205288790609583,0.21767179232935677,-0.17693212367213487,-0.02702559145107122,-0.2936079077292456,-0.6712567249727582,1.0
