,zn_ppm,ag_ppm,cu_ppm,pb_ppm,au_ppm,co_ppm,in_ppm,ge_ppm,latitude,longitude
zn_ppm,1.0,0.6387722442968101,-0.04134995990354423,-0.1298159671867917,-0.11634247168531685,0.011938049659140863,0.2887584229512238,-0.15607762171520217,0.028752101488069816,-0.12923488972410216
ag_ppm,0.6387722442968101,1.0,0.30939621863088373,-0.10797534327504414,-0.0970355192174493,0.14696242676439064,0.35532937400036835,-0.1302674984803172,-0.2643284065301035,-0.031807338591211994
cu_ppm,-0.04134995990354423,0.30939621863088373,1.0,-0.07847787491710123,-0.07076307864208434,0.49598950524561125,0.3873128070766058,-0.09479589995050644,-0.09242338589596559,0.16881443162334211
pb_ppm,-0.1298159671867917,-0.10797534327504414,-0.07847787491710123,1.0,0.6544945930587986,-0.11910945873637806,-0.09871403751555531,0.35252657597632514,-0.02958870927285955,-0.1802550426882044
au_ppm,-0.11634247168531685,-0.0970355192174493,-0.07076307864208434,0.6544945930587986,1.0,-0.10840650220568075,-0.08974183571365456,0.31145995130735554,-0.11730773784159963,-0.16775509037994468
co_ppm,0.011938049659140863,0.14696242676439064,0.49598950524561125,-0.11910945873637806,-0.10840650220568075,1.0,0.5123942198944589,-0.1443610245131165,-0.0937217363192874,0.04017279180325669
in_ppm,0.2887584229512238,0.35532937400036835,0.3873128070766058,-0.09871403751555531,-0.08974183571365456,0.5123942198944589,1.0,-0.12056615961919867,-0.08798719949910258,0.08320589741935742
ge_ppm,-0.15607762171520217,-0.1302674984803172,-0.09479589995050644,0.35252657597632514,0.31145995130735554,-0.1443610245131165,-0.12056615961919867,1.0,-0.1410707249036271,0.11446458040637862
latitude,0.028752101488069816,-0.2643284065301035,-0.09242338589596559,-0.02958870927285955,-0.11730773784159963,-0.0937217363192874,-0.08798719949910258,-0.1410707249036271,1.0,-0.27304173036960794
longitude,-0.12923488972410216,-0.031807338591211994,0.16881443162334211,-0.1802550426882044,-0.16775509037994468,0.04017279180325669,0.08320589741935742,0.11446458040637862,-0.27304173036960794,1.0
