,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
0,"(-28.40897, 121.147797)",S0002897,-28.40288882,121.1458872,0.699453444932356 km
1,"(-28.40897, 121.147797)",S0002898,-28.40288882,121.1458872,0.699453444932356 km
2,"(-28.444611, 121.155098)",S0018933,-28.40288882,121.1458872,4.711152929844372 km
3,"(-28.444611, 121.155098)",S0019383,-28.40288882,121.1458872,4.711152929844372 km
4,"(-28.43095, 121.146103)",S0022300,-28.40288882,121.1458872,3.10998601602845 km
5,"(-28.483949, 121.169987)",S0223460,-28.40288882,121.1458872,9.288626857978263 km
6,"(-28.478071, 121.158546)",S0224705,-28.40288882,121.1458872,8.4239544565353 km
7,"(-28.483949, 121.169987)",S0229619,-28.40288882,121.1458872,9.288626857978263 km
8,"(-28.397473, 121.145223)",S0231974,-28.40288882,121.1458872,0.6037322235964145 km
9,"(-21.079196, 116.927548)",S0001501,-20.9937372834328,116.870214732527,11.182172960098034 km
10,"(-21.079069, 116.923897)",S0019518,-20.9937372834328,116.870214732527,10.972503736787163 km
11,"(-21.066667, 116.936068)",S0022459,-20.9937372834328,116.870214732527,10.585776572622809 km
12,"(-21.079069, 116.923897)",S0023122,-20.9937372834328,116.870214732527,10.972503736787163 km
13,"(-21.589494, 122.204345)",S0029493,-21.7239149329049,122.190180908979,14.955881802350879 km
14,"(-28.765087, 116.962407)",S0001256,-28.7835205259818,116.96139337659,2.045421756515477 km
15,"(-28.744567, 116.945103)",S0001257,-28.7835205259818,116.96139337659,4.60108716537902 km
16,"(-28.765087, 116.962407)",S0002039,-28.7835205259818,116.96139337659,2.045421756515477 km
17,"(-28.776882, 116.964949)",S0018874,-28.7835205259818,116.96139337659,0.813562709927893 km
18,"(-28.767751, 116.959301)",S0018875,-28.7835205259818,116.96139337659,1.759671274196901 km
19,"(-28.74515, 116.943556)",S0019515,-28.7835205259818,116.96139337659,4.595625076327211 km
20,"(-28.774319, 116.963017)",S0020268,-28.7835205259818,116.96139337659,1.0320742124789932 km
21,"(-28.769453, 116.960083)",S0020269,-28.7835205259818,116.96139337659,1.564374975791091 km
22,"(-28.775338, 116.95315)",S0020270,-28.7835205259818,116.96139337659,1.2125789750769944 km
23,"(-28.827388, 117.012276)",S0033008,-28.7835205259818,116.96139337659,6.95065472552851 km
24,"(-28.847024, 117.032666)",S0033009,-28.7835205259818,116.96139337659,9.896338415466662 km
25,"(-27.139858, 118.513817)",S0025428,-27.0634926523532,118.620414288197,13.540348075325827 km
26,"(-23.715655, 119.281652)",S0002505,-23.7333451381904,119.333509450264,5.639068667777628 km
27,"(-23.715655, 119.281652)",S0002505,-23.7280449341671,119.299787990561,2.3028237810068544 km
28,"(-28.40897, 121.147797)",S0002897,-28.5021225959745,121.179827103613,10.78994770808931 km
29,"(-28.40897, 121.147797)",S0002898,-28.5021225959745,121.179827103613,10.78994770808931 km
30,"(-28.444611, 121.155098)",S0018933,-28.5021225959745,121.179827103613,6.818392321461371 km
31,"(-28.444611, 121.155098)",S0019383,-28.5021225959745,121.179827103613,6.818392321461371 km
32,"(-28.43095, 121.146103)",S0022300,-28.5021225959745,121.179827103613,8.55139779595356 km
33,"(-28.483949, 121.169987)",S0223460,-28.5021225959745,121.179827103613,2.23270427463712 km
