,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
0,"(-17.34893, 128.022095)",S0001442,-17.234642,128.032146,12.693593881734987 km
1,"(-17.31078, 128.023499)",S0002890,-17.234642,128.032146,8.476376684524638 km
2,"(-17.3526, 128.027695)",S0019720,-17.234642,128.032146,13.063277176872425 km
3,"(-17.3526, 128.027695)",S0019821,-17.234642,128.032146,13.063277176872425 km
4,"(-17.338411, 128.017007)",S0231765,-17.234642,128.032146,11.59661465949521 km
5,"(-17.34893, 128.022095)",S0001442,-17.234642,128.032146,12.693593881734987 km
6,"(-17.31078, 128.023499)",S0002890,-17.234642,128.032146,8.476376684524638 km
7,"(-17.3526, 128.027695)",S0019720,-17.234642,128.032146,13.063277176872425 km
8,"(-17.3526, 128.027695)",S0019821,-17.234642,128.032146,13.063277176872425 km
9,"(-17.338411, 128.017007)",S0231765,-17.234642,128.032146,11.59661465949521 km
10,"(-17.34893, 128.022095)",S0001442,-17.234642,128.032146,12.693593881734987 km
11,"(-17.31078, 128.023499)",S0002890,-17.234642,128.032146,8.476376684524638 km
12,"(-17.3526, 128.027695)",S0019720,-17.234642,128.032146,13.063277176872425 km
13,"(-17.3526, 128.027695)",S0019821,-17.234642,128.032146,13.063277176872425 km
14,"(-17.338411, 128.017007)",S0231765,-17.234642,128.032146,11.59661465949521 km
15,"(-17.34893, 128.022095)",S0001442,-17.216592,128.047184,14.887105963431889 km
16,"(-17.31078, 128.023499)",S0002890,-17.216592,128.047184,10.723929875137832 km
17,"(-17.338411, 128.017007)",S0231765,-17.216592,128.047184,13.858552003780353 km
18,"(-17.34893, 128.022095)",S0001442,-17.216028,128.048165,14.967484643201628 km
19,"(-17.31078, 128.023499)",S0002890,-17.216028,128.048165,10.809450767491281 km
20,"(-17.338411, 128.017007)",S0231765,-17.216028,128.048165,13.943697730389472 km
21,"(-17.34893, 128.022095)",S0001442,-17.216586,128.047729,14.898251258687418 km
22,"(-17.31078, 128.023499)",S0002890,-17.216586,128.047729,10.738332804320834 km
23,"(-17.338411, 128.017007)",S0231765,-17.216586,128.047729,13.872728716588439 km
24,"(-17.34893, 128.022095)",S0001442,-17.216544,128.048435,14.916732128898445 km
25,"(-17.31078, 128.023499)",S0002890,-17.216544,128.048435,10.761097359366227 km
26,"(-17.338411, 128.017007)",S0231765,-17.216544,128.048435,13.895108240768197 km
27,"(-17.31078, 128.023499)",S0002890,-17.214385,128.048747,11.00088129480011 km
28,"(-17.338411, 128.017007)",S0231765,-17.214385,128.048747,14.135041016739969 km
29,"(-17.34893, 128.022095)",S0001442,-17.216492,128.045003,14.858223710597178 km
30,"(-17.31078, 128.023499)",S0002890,-17.216492,128.045003,10.682654604189233 km
31,"(-17.338411, 128.017007)",S0231765,-17.216492,128.045003,13.81751072333861 km
32,"(-17.34893, 128.022095)",S0001442,-17.216005,128.0454,14.918347876624388 km
33,"(-17.31078, 128.023499)",S0002890,-17.216005,128.0454,10.744380458356877 km
34,"(-17.338411, 128.017007)",S0231765,-17.216005,128.0454,13.879268579289642 km
35,"(-17.31078, 128.023499)",S0002890,-17.212844,128.049639,11.18953431570892 km
36,"(-17.338411, 128.017007)",S0231765,-17.212844,128.049639,14.323394322045342 km
37,"(-17.31078, 128.023499)",S0002890,-17.213359,128.049495,11.130520272727793 km
38,"(-17.338411, 128.017007)",S0231765,-17.213359,128.049495,14.264385852748719 km
39,"(-17.31078, 128.023499)",S0002890,-17.213305,128.049655,11.140544983569697 km
40,"(-17.338411, 128.017007)",S0231765,-17.213305,128.049655,14.274312239411076 km
41,"(-17.34893, 128.022095)",S0001442,-17.232576,128.032891,12.92823665487207 km
42,"(-17.31078, 128.023499)",S0002890,-17.232576,128.032891,8.712435856740418 km
43,"(-17.3526, 128.027695)",S0019720,-17.232576,128.032891,13.294833417538017 km
44,"(-17.3526, 128.027695)",S0019821,-17.232576,128.032891,13.294833417538017 km
45,"(-17.338411, 128.017007)",S0231765,-17.232576,128.032891,11.834137354278324 km
46,"(-17.34893, 128.022095)",S0001442,-17.235519,128.032114,12.596593519637466 km
47,"(-17.31078, 128.023499)",S0002890,-17.235519,128.032114,8.379523910575562 km
48,"(-17.3526, 128.027695)",S0019720,-17.235519,128.032114,12.966158407288129 km
49,"(-17.3526, 128.027695)",S0019821,-17.235519,128.032114,12.966158407288129 km
50,"(-17.338411, 128.017007)",S0231765,-17.235519,128.032114,11.500026633159456 km
51,"(-17.34893, 128.022095)",S0001442,-17.236137,128.032844,12.535281968985384 km
52,"(-17.31078, 128.023499)",S0002890,-17.236137,128.032844,8.320454287800386 km
53,"(-17.3526, 128.027695)",S0019720,-17.236137,128.032844,12.900868621571576 km
54,"(-17.3526, 128.027695)",S0019821,-17.236137,128.032844,12.900868621571576 km
55,"(-17.338411, 128.017007)",S0231765,-17.236137,128.032844,11.443468228305674 km
56,"(-17.34893, 128.022095)",S0001442,-17.236083,128.032891,12.541689728108278 km
57,"(-17.31078, 128.023499)",S0002890,-17.236083,128.032891,8.32698571812307 km
58,"(-17.3526, 128.027695)",S0019720,-17.236083,128.032891,12.907052430609799 km
59,"(-17.3526, 128.027695)",S0019821,-17.236083,128.032891,12.907052430609799 km
60,"(-17.338411, 128.017007)",S0231765,-17.236083,128.032891,11.450115508954674 km
61,"(-17.34893, 128.022095)",S0001442,-17.235255,128.029811,12.607409532026535 km
62,"(-17.31078, 128.023499)",S0002890,-17.235255,128.029811,8.385423412051543 km
63,"(-17.3526, 128.027695)",S0019720,-17.235255,128.029811,12.98880955604413 km
64,"(-17.3526, 128.027695)",S0019821,-17.235255,128.029811,12.98880955604413 km
65,"(-17.338411, 128.017007)",S0231765,-17.235255,128.029811,11.497401584015076 km
66,"(-17.34893, 128.022095)",S0001442,-17.230746,128.030079,13.107226482300646 km
67,"(-17.31078, 128.023499)",S0002890,-17.230746,128.030079,8.885130572874068 km
68,"(-17.3526, 128.027695)",S0019720,-17.230746,128.030079,13.488262019609834 km
69,"(-17.3526, 128.027695)",S0019821,-17.230746,128.030079,13.488262019609834 km
70,"(-17.338411, 128.017007)",S0231765,-17.230746,128.030079,11.996325676506515 km
71,"(-17.34893, 128.022095)",S0001442,-17.236559,128.028506,12.455039654845928 km
72,"(-17.31078, 128.023499)",S0002890,-17.236559,128.028506,8.231440122290513 km
73,"(-17.3526, 128.027695)",S0019720,-17.236559,128.028506,12.842834518037108 km
74,"(-17.3526, 128.027695)",S0019821,-17.236559,128.028506,12.842834518037108 km
75,"(-17.338411, 128.017007)",S0231765,-17.236559,128.028506,11.338313750957274 km
76,"(-17.34893, 128.022095)",S0001442,-17.2443,128.025634,11.58577493965161 km
77,"(-17.31078, 128.023499)",S0002890,-17.2443,128.025634,7.360995155182282 km
78,"(-17.3526, 128.027695)",S0019720,-17.2443,128.025634,11.987836735866816 km
79,"(-17.3526, 128.027695)",S0019821,-17.2443,128.025634,11.987836735866816 km
80,"(-17.338411, 128.017007)",S0231765,-17.2443,128.025634,10.455803016687105 km
81,"(-17.34893, 128.022095)",S0001442,-17.244375,128.026208,11.5796228361758 km
82,"(-17.31078, 128.023499)",S0002890,-17.244375,128.026208,7.354836034112374 km
83,"(-17.3526, 128.027695)",S0019720,-17.244375,128.026208,11.97857691599633 km
84,"(-17.3526, 128.027695)",S0019821,-17.244375,128.026208,11.97857691599633 km
85,"(-17.338411, 128.017007)",S0231765,-17.244375,128.026208,10.45306921105235 km
86,"(-17.34893, 128.022095)",S0001442,-17.245284,128.025498,11.476466794315145 km
87,"(-17.31078, 128.023499)",S0002890,-17.245284,128.025498,7.2517082880392225 km
88,"(-17.3526, 128.027695)",S0019720,-17.245284,128.025498,11.879229407800494 km
89,"(-17.3526, 128.027695)",S0019821,-17.245284,128.025498,11.879229407800494 km
90,"(-17.338411, 128.017007)",S0231765,-17.245284,128.025498,10.3460541546342 km
91,"(-17.34893, 128.022095)",S0001442,-17.246225,128.025681,11.373012288767857 km
92,"(-17.31078, 128.023499)",S0002890,-17.246225,128.025681,7.1482164487875295 km
93,"(-17.3526, 128.027695)",S0019720,-17.246225,128.025681,11.774737549165865 km
94,"(-17.3526, 128.027695)",S0019821,-17.246225,128.025681,11.774737549165865 km
95,"(-17.338411, 128.017007)",S0231765,-17.246225,128.025681,10.244046122809571 km
96,"(-17.34893, 128.022095)",S0001442,-17.249021,128.024462,11.060044729811773 km
97,"(-17.31078, 128.023499)",S0002890,-17.249021,128.024462,6.835778503325928 km
98,"(-17.3526, 128.027695)",S0019720,-17.249021,128.024462,11.468503526094688 km
99,"(-17.3526, 128.027695)",S0019821,-17.249021,128.024462,11.468503526094688 km
100,"(-17.338411, 128.017007)",S0231765,-17.249021,128.024462,9.924712014107323 km
101,"(-17.34893, 128.022095)",S0001442,-17.231759,128.024665,12.970477979512287 km
102,"(-17.31078, 128.023499)",S0002890,-17.231759,128.024665,8.746308418240998 km
103,"(-17.3526, 128.027695)",S0019720,-17.231759,128.024665,13.377649167308043 km
104,"(-17.3526, 128.027695)",S0019821,-17.231759,128.024665,13.377649167308043 km
105,"(-17.338411, 128.017007)",S0231765,-17.231759,128.024665,11.831480170529044 km
106,"(-17.75153, 127.831596)",S0001805,-17.742535,127.903385,7.6783918546429275 km
107,"(-17.656892, 127.991025)",S0020238,-17.742535,127.903385,13.277119022040617 km
108,"(-17.653231, 127.990501)",S0022425,-17.742535,127.903385,13.531392202385549 km
109,"(-17.75153, 127.831596)",S0223033,-17.742535,127.903385,7.6783918546429275 km
110,"(-17.656892, 127.991025)",S0224312,-17.742535,127.903385,13.277119022040617 km
111,"(-17.75153, 127.831596)",S0001805,-17.737059,127.90339,7.7808481108380585 km
