,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY,PROJ_CODE,PROJ_TITLE,CONFIDENTI,POINT_CONF,LATITUDE,LONGITUDE,WEB_LINK,EXTRACT_DA,MIN_TYPE
0,,Andover VC-07,Andover VC-07,"Ni, Cu, Co",Occurrence,Drillhole,Exploration,NICKEL,STEEL ALLOY METAL,,,Public,Public,,,,,Orthomagmatic - mafic intrusion
1,,Andover VC-23,Andover VC-23,"Ni, Cu, Co",Occurrence,Drillhole,Exploration,NICKEL,STEEL ALLOY METAL,,,,,,,,,Orthomagmatic - mafic intrusion
2,S0000192,Flying Fox Old - OTZ / Outokumpu,Flying Fox Old,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.416982,119.689058,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000192,2021-07-28,
3,S0000193,West Quest Nickel,West Quest Ni,"Ni, Cu",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.26389,119.7708,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000193,2021-07-28,
4,S0001174,Halleys,Halleys,"Ni, Co, Mg",Mine,Openpit,Operating,NICKEL,STEEL ALLOY METAL,J02145,Ravensthorpe - First Quantum,Public,Public,-33.633382,120.374303,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001174,2021-07-28,
5,S0001178,Black Swan - Gosling,Black Swan,Ni,Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00452,Silver Swan - Black Swan,Public,Public,-30.393502,121.648875,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001178,2021-07-28,
6,S0001188,Avalon Group,Bulong,"Ni, Co",Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00461,Avalon,Public,Public,-30.736222,121.80277,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001188,2021-07-28,
7,S0001197,Byro East,Byro East,"Ni, Cu, Au, Pt, Pd, Cr",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00470,Byro Nickel,Public,Public,-26.037849,116.387001,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001197,2021-07-28,
8,S0001204,Carr Boyd Rocks,Carr Boyd Rocks,"Ni, Cu, Gsp",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J00477,Carr Boyd Nickel,Public,Public,-30.065901,121.626099,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001204,2021-07-28,
9,S0001218,Cosmic Boy,Cosmic Boy,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.582031,119.741699,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001218,2021-07-28,
