SiteCode,StartDate,EndDate,Tonnage (Mt),Grade,GradeUnit,CommodityName,ContainedMetal,ContainedMetalUnit,CutOffGrade,TargetCommodityGroup,quantity(tonne),ppm
S0000001,13/07/2005,14/09/2006,0.695,1.3,gram/tonne,Gold,903.5,kilogram,,GOLD,0.9035,1.3
S0000002,12/03/2019,,0.528,2.09,gram/tonne,Gold,1103.52,kilogram,0.3,GOLD,1.10352,2.09
S0000005,30/09/2006,07/03/2016,0.011,7.33,gram/tonne,Gold,80.63,kilogram,,GOLD,0.08063,7.33
S0000005,30/09/2006,07/03/2016,0.018,4.94,gram/tonne,Gold,88.92,kilogram,,GOLD,0.08892,4.94
S0000006,08/10/1993,30/12/2014,0.057,2.36,gram/tonne,Gold,134.52,kilogram,,GOLD,0.13452,2.36
S0000006,08/10/1993,30/12/2014,0.034,2.16,gram/tonne,Gold,73.44,kilogram,,GOLD,0.07343999999999999,2.16
S0000007,01/11/2019,,0.4039,1.27,gram/tonne,Gold,512.953,kilogram,0.6,GOLD,0.512953,1.27
S0000007,01/11/2019,,3.3684,1.1,gram/tonne,Gold,3705.24,kilogram,0.6,GOLD,3.70524,1.1
S0000007,01/11/2019,,0.4618,0.79,gram/tonne,Gold,364.822,kilogram,0.6,GOLD,0.364822,0.79
S0000008,15/04/2021,,4.7872,1.57,gram/tonne,Gold,7515.904,kilogram,0.6,GOLD,7.515904000000001,1.57
S0000008,15/04/2021,,4.7989,1.18,gram/tonne,Gold,5662.702,kilogram,0.6,GOLD,5.662702,1.18
S0000008,15/04/2021,,0.6046,1.3,gram/tonne,Gold,785.98,kilogram,0.6,GOLD,0.78598,1.3
S0000008,15/04/2021,,0.5397,3.01,gram/tonne,Gold,1624.497,kilogram,1.8,GOLD,1.624497,3.01
S0000011,01/08/1990,01/08/1991,0.21,14.8,gram/tonne,Gold,3108.0,kilogram,,GOLD,3.108,14.8
S0000012,31/12/2020,,0.0,0.8,gram/tonne,Gold,0.0,kilogram,0.4,GOLD,0.0,0.8
S0000012,31/12/2020,,12.0,1.0,gram/tonne,Gold,12000.0,kilogram,0.4,GOLD,12.0,1.0
S0000012,31/12/2020,,0.0,0.8,gram/tonne,Gold,0.0,kilogram,0.4,GOLD,0.0,0.8
S0000012,31/12/2020,,1.0,0.8,gram/tonne,Gold,800.0,kilogram,0.5,GOLD,0.8,0.8
S0000012,31/12/2020,,3.0,1.3,gram/tonne,Gold,3900.0,kilogram,0.5,GOLD,3.9,1.3
S0000016,31/03/2018,30/12/2020,0.6,2.18,gram/tonne,Gold,1308.0,kilogram,0.8,GOLD,1.308,2.18
S0000016,31/03/2018,30/12/2020,0.3,2.26,gram/tonne,Gold,678.0,kilogram,0.4,GOLD,0.678,2.26
S0000020,29/03/2021,,9.645,1.0,gram/tonne,Gold,9645.0,kilogram,0.3,GOLD,9.645,1.0
S0000020,29/03/2021,,1.685,0.8,gram/tonne,Gold,1348.0,kilogram,0.3,GOLD,1.348,0.8
S0000020,29/03/2021,,5.69,1.11,gram/tonne,Gold,6315.9,kilogram,,GOLD,6.3159,1.11
S0000022,29/03/2021,,3.987,1.8,gram/tonne,Gold,7176.6,kilogram,0.3,GOLD,7.1766000000000005,1.8
S0000022,29/03/2021,,0.8,4.7,gram/tonne,Gold,3760.0,kilogram,1.6,GOLD,3.76,4.7
S0000022,29/03/2021,,1.918,1.5,gram/tonne,Gold,2877.0,kilogram,0.3,GOLD,2.877,1.5
S0000022,29/03/2021,,0.812,3.4,gram/tonne,Gold,2760.8,kilogram,1.6,GOLD,2.7608,3.4
S0000022,29/03/2021,,0.365,2.1,gram/tonne,Gold,766.5,kilogram,,GOLD,0.7665,2.1
S0000022,29/03/2021,,0.276,1.78,gram/tonne,Gold,491.28,kilogram,,GOLD,0.49128,1.78
S0000022,29/03/2021,,0.417,1.8,gram/tonne,Gold,750.6,kilogram,,GOLD,0.7506,1.8
S0000022,29/03/2021,,0.839,3.63,gram/tonne,Gold,3045.57,kilogram,,GOLD,3.04557,3.63
S0000024,06/10/2004,,0.025,23.8,gram/tonne,Gold,595.0,kilogram,,GOLD,0.595,23.8
S0000025,30/06/1999,,0.042,2.9,gram/tonne,Gold,121.8,kilogram,,GOLD,0.12179999999999999,2.9
S0000025,30/06/1999,,0.008,0.93,gram/tonne,Gold,7.44,kilogram,,GOLD,0.00744,0.93
S0000026,26/04/2002,31/05/2002,0.134,3.2,gram/tonne,Gold,428.8,kilogram,,GOLD,0.4288,3.2
S0000027,30/09/2005,,1.4,2.0,gram/tonne,Gold,2800.0,kilogram,1.0,GOLD,2.8,2.0
S0000029,07/02/2005,17/05/2006,0.064,1.9,gram/tonne,Gold,121.6,kilogram,,GOLD,0.1216,1.9
S0000030,29/03/2019,,6.645,2.1,gram/tonne,Gold,13954.5,kilogram,0.5,GOLD,13.9545,2.1
S0000030,29/03/2019,,3.41,2.7,gram/tonne,Gold,9207.0,kilogram,0.5,GOLD,9.207,2.7
S0000030,29/03/2019,,0.885,5.3,gram/tonne,Gold,4690.5,kilogram,3.5,GOLD,4.6905,5.3
S0000031,25/09/2020,,0.158,1.34,gram/tonne,Gold,211.72,kilogram,0.5,GOLD,0.21172,1.34
S0000031,25/09/2020,,0.04,0.96,gram/tonne,Gold,38.4,kilogram,0.5,GOLD,0.0384,0.96
S0000032,30/06/2020,,2.018,3.48,gram/tonne,Gold,7022.64,kilogram,,GOLD,7.02264,3.48
S0000032,30/06/2020,,20.136,2.63,gram/tonne,Gold,52957.68,kilogram,,GOLD,52.95768,2.63
S0000032,30/06/2020,,5.444,2.43,gram/tonne,Gold,13228.92,kilogram,,GOLD,13.22892,2.43
S0000032,30/06/2020,,11.846,2.71,gram/tonne,Gold,32102.66,kilogram,,GOLD,32.10266,2.71
S0000032,30/06/2020,,1.874,3.06,gram/tonne,Gold,5734.44,kilogram,,GOLD,5.734439999999999,3.06
S0000033,30/06/2017,29/06/2018,0.242354,2.25,gram/tonne,Gold,545.2965,kilogram,1.5,GOLD,0.5452965000000001,2.25
S0000033,30/06/2017,29/06/2018,1.447331,2.242,gram/tonne,Gold,3244.916102,kilogram,1.5,GOLD,3.2449161020000004,2.242
S0000033,30/06/2017,30/06/2017,0.132751,0.79,gram/tonne,Gold,104.87329,kilogram,,GOLD,0.10487329,0.79
S0000033,30/06/2017,30/06/2017,0.080149,0.89,gram/tonne,Gold,71.33261,kilogram,,GOLD,0.07133261,0.89
S0000033,30/06/2017,30/06/2017,3.394,0.7,gram/tonne,Gold,2375.8,kilogram,,GOLD,2.3758000000000004,0.7
S0000034,07/02/2012,29/06/2015,3.394,0.7,gram/tonne,Gold,2375.8,kilogram,,GOLD,2.3758000000000004,0.7
S0000034,07/02/2012,29/06/2015,3.7,0.7,gram/tonne,Gold,2590.0,kilogram,,GOLD,2.59,0.7
S0000036,30/06/2009,,0.1,2.2,gram/tonne,Gold,220.0,kilogram,,GOLD,0.22,2.2
S0000038,31/08/2000,,0.22,1.69,gram/tonne,Gold,371.8,kilogram,1.0,GOLD,0.3718,1.69
S0000039,30/06/1995,30/06/1996,0.097,3.42,gram/tonne,Gold,331.74,kilogram,0.9,GOLD,0.33174000000000003,3.42
S0000042,30/06/1992,23/04/2003,0.11,3.7,gram/tonne,Gold,407.0,kilogram,2.0,GOLD,0.407,3.7
S0000043,30/06/2002,,0.017,20.86,gram/tonne,Gold,354.62,kilogram,,GOLD,0.35462,20.86
S0000045,30/06/2017,29/06/2018,0.146092,1.37,gram/tonne,Gold,200.14604,kilogram,0.7,GOLD,0.20014604,1.37
S0000045,30/06/2017,29/06/2018,0.469125,1.89,gram/tonne,Gold,886.64625,kilogram,0.7,GOLD,0.88664625,1.89
S0000046,30/06/2017,29/06/2018,0.705067,1.91,gram/tonne,Gold,1346.67797,kilogram,0.7,GOLD,1.34667797,1.91
S0000046,30/06/2017,29/06/2018,0.080405,1.44,gram/tonne,Gold,115.7832,kilogram,0.7,GOLD,0.11578319999999999,1.44
