,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
0,"(-23.715655, 119.281652)",S0002505,-23.722923,119.288533,1.06784626317382 km
1,"(-23.715655, 119.281652)",S0002505,-23.741126,119.34726,7.260152057258165 km
2,"(-27.05574, 117.697197)",S0001380,-26.991805,117.63881,9.151869117283306 km
3,"(-28.40897, 121.147797)",S0002897,-28.49377,121.080858,11.45921164233483 km
4,"(-28.40897, 121.147797)",S0002898,-28.49377,121.080858,11.45921164233483 km
5,"(-28.444611, 121.155098)",S0018933,-28.49377,121.080858,9.085297948373535 km
6,"(-28.444611, 121.155098)",S0019383,-28.49377,121.080858,9.085297948373535 km
7,"(-28.43095, 121.146103)",S0022300,-28.49377,121.080858,9.45007156070653 km
8,"(-28.483949, 121.169987)",S0223460,-28.49377,121.080858,8.794624922224056 km
9,"(-28.478071, 121.158546)",S0224705,-28.49377,121.080858,7.803421102125467 km
10,"(-28.483949, 121.169987)",S0229619,-28.49377,121.080858,8.794624922224056 km
11,"(-28.397473, 121.145223)",S0231974,-28.49377,121.080858,12.395494823033633 km
12,"(-21.079196, 116.927548)",S0001501,-21.039737,116.957508,5.364864497660358 km
13,"(-21.079069, 116.923897)",S0019518,-21.039737,116.957508,5.582657787764997 km
14,"(-21.066667, 116.936068)",S0022459,-21.039737,116.957508,3.7223086026016277 km
15,"(-21.079069, 116.923897)",S0023122,-21.039737,116.957508,5.582657787764997 km
16,"(-21.079196, 116.927548)",S0001501,-21.034671,116.976892,7.113520797170964 km
17,"(-21.079069, 116.923897)",S0019518,-21.034671,116.976892,7.382390283820677 km
18,"(-21.066667, 116.936068)",S0022459,-21.034671,116.976892,5.527474343841001 km
19,"(-21.079069, 116.923897)",S0023122,-21.034671,116.976892,7.382390283820677 km
20,"(-21.079196, 116.927548)",S0001501,-21.024218,116.987278,8.694332711536306 km
21,"(-21.079069, 116.923897)",S0019518,-21.024218,116.987278,8.959682645585714 km
22,"(-21.066667, 116.936068)",S0022459,-21.024218,116.987278,7.100694430340335 km
23,"(-21.079069, 116.923897)",S0023122,-21.024218,116.987278,8.959682645585714 km
24,"(-21.079196, 116.927548)",S0001501,-21.016376,116.989857,9.503550624519898 km
25,"(-21.079069, 116.923897)",S0019518,-21.016376,116.989857,9.75608763965306 km
26,"(-21.066667, 116.936068)",S0022459,-21.016376,116.989857,7.890630059109054 km
27,"(-21.079069, 116.923897)",S0023122,-21.016376,116.989857,9.75608763965306 km
28,"(-20.757111, 117.704498)",S0001443,-20.809588,117.628839,9.788358720563991 km
29,"(-20.757111, 117.704498)",S0001443,-20.820502,117.613931,11.754627389215363 km
30,"(-20.77564, 118.781097)",S0022306,-20.685247,118.836603,11.557587032604907 km
31,"(-20.768925, 118.802339)",S0022810,-20.685247,118.836603,9.927932503832164 km
32,"(-24.638213, 118.585512)",S0001538,-24.657586,118.619474,4.052891317700783 km
33,"(-24.638213, 118.585512)",S0001538,-24.649891,118.62548,4.248053416356368 km
34,"(-24.638213, 118.585512)",S0001538,-24.638217,118.591673,0.6237624906130815 km
35,"(-24.638213, 118.585512)",S0001538,-24.647358,118.614185,3.0745197589650575 km
36,"(-24.638213, 118.585512)",S0001538,-24.672265,118.54423,5.62945764774899 km
37,"(-20.77564, 118.781097)",S0022306,-20.695154,118.856957,11.909240875042824 km
38,"(-20.768925, 118.802339)",S0022810,-20.695154,118.856957,9.953334616519113 km
39,"(-27.05574, 117.697197)",S0001380,-26.980859,117.744556,9.535746619079546 km
40,"(-28.40897, 121.147797)",S0002897,-28.471179,121.05448,11.449706648020404 km
41,"(-28.40897, 121.147797)",S0002898,-28.471179,121.05448,11.449706648020404 km
42,"(-28.444611, 121.155098)",S0018933,-28.471179,121.05448,10.285296121997067 km
43,"(-28.444611, 121.155098)",S0019383,-28.471179,121.05448,10.285296121997067 km
44,"(-28.43095, 121.146103)",S0022300,-28.471179,121.05448,10.02086247016106 km
45,"(-28.483949, 121.169987)",S0223460,-28.471179,121.05448,11.399197948335733 km
46,"(-28.478071, 121.158546)",S0224705,-28.471179,121.05448,10.219509928514075 km
47,"(-28.483949, 121.169987)",S0229619,-28.471179,121.05448,11.399197948335733 km
48,"(-28.397473, 121.145223)",S0231974,-28.471179,121.05448,12.072727669300702 km
49,"(-21.079196, 116.927548)",S0001501,-21.030299,116.984255,8.002781712701443 km
50,"(-21.079069, 116.923897)",S0019518,-21.030299,116.984255,8.277034419760597 km
51,"(-21.066667, 116.936068)",S0022459,-21.030299,116.984255,6.42630802030197 km
52,"(-21.079069, 116.923897)",S0023122,-21.030299,116.984255,8.277034419760597 km
53,"(-21.079196, 116.927548)",S0001501,-21.02861,116.991213,8.669019655065492 km
54,"(-21.079069, 116.923897)",S0019518,-21.02861,116.991213,8.953229082044247 km
55,"(-21.066667, 116.936068)",S0022459,-21.02861,116.991213,7.113776086402381 km
56,"(-21.079069, 116.923897)",S0023122,-21.02861,116.991213,8.953229082044247 km
57,"(-21.205698, 119.238599)",S0003148,-21.320382,119.264123,12.971249918037454 km
58,"(-21.228789, 119.276288)",S0004433,-21.320382,119.264123,10.21951310853832 km
59,"(-21.205698, 119.238599)",S0018892,-21.320382,119.264123,12.971249918037454 km
60,"(-23.715655, 119.281652)",S0002505,-23.74118,119.347271,7.263509925866895 km
61,"(-27.321131, 118.141403)",S0017807,-27.349403,118.154093,3.375108344911571 km
62,"(-27.321131, 118.141403)",S0017807,-27.349245,118.160035,3.6200236060163387 km
63,"(-27.321131, 118.141403)",S0017807,-27.34947,118.160139,3.6467223364610915 km
64,"(-27.321131, 118.141403)",S0017807,-27.350832,118.159172,3.7314187810538604 km
65,"(-27.321131, 118.141403)",S0017807,-27.349993,118.158021,3.5961943385770643 km
66,"(-27.321131, 118.141403)",S0017807,-27.34884,118.163165,3.7503509790619045 km
67,"(-27.321131, 118.141403)",S0017807,-27.349662,118.147797,3.224183456679171 km
68,"(-27.321131, 118.141403)",S0017807,-27.346071,118.154139,3.0374051260163295 km
69,"(-24.638213, 118.585512)",S0001538,-24.646403,118.572246,1.6207356348267032 km
70,"(-24.638213, 118.585512)",S0001538,-24.656957,118.61912,3.985808698235383 km
71,"(-24.638213, 118.585512)",S0001538,-24.664842,118.603749,3.479761389533496 km
72,"(-24.638213, 118.585512)",S0001538,-24.658532,118.551214,4.137825222767274 km
73,"(-24.638213, 118.585512)",S0001538,-24.654739,118.553904,3.686496753829752 km
74,"(-24.638213, 118.585512)",S0001538,-24.64311,118.578932,0.85907627446859 km
75,"(-24.638213, 118.585512)",S0001538,-24.64248,118.622786,3.8031766155340603 km
76,"(-24.638213, 118.585512)",S0001538,-24.637746,118.631359,4.642016059727763 km
77,"(-24.638213, 118.585512)",S0001538,-24.648316,118.565472,2.3170133076945563 km
78,"(-27.05574, 117.697197)",S0001380,-26.97719,117.778681,11.880440800305268 km
79,"(-28.40897, 121.147797)",S0002897,-28.48385,121.174319,8.695841864066125 km
80,"(-28.40897, 121.147797)",S0002898,-28.48385,121.174319,8.695841864066125 km
81,"(-28.444611, 121.155098)",S0018933,-28.48385,121.174319,4.738686762152595 km
82,"(-28.444611, 121.155098)",S0019383,-28.48385,121.174319,4.738686762152595 km
83,"(-28.43095, 121.146103)",S0022300,-28.48385,121.174319,6.481439575987154 km
84,"(-28.483949, 121.169987)",S0223460,-28.48385,121.174319,0.42432685346010524 km
85,"(-28.478071, 121.158546)",S0224705,-28.48385,121.174319,1.6720468379396607 km
86,"(-28.483949, 121.169987)",S0229619,-28.48385,121.174319,0.42432685346010524 km
87,"(-28.397473, 121.145223)",S0231974,-28.48385,121.174319,9.988168464712581 km
88,"(-21.079196, 116.927548)",S0001501,-21.079646,116.927277,0.05723101082512681 km
89,"(-21.079069, 116.923897)",S0019518,-21.079646,116.927277,0.3569964131116318 km
90,"(-21.066667, 116.936068)",S0022459,-21.079646,116.927277,1.7028157650734097 km
91,"(-21.079069, 116.923897)",S0023122,-21.079646,116.927277,0.3569964131116318 km
92,"(-21.205698, 119.238599)",S0003148,-21.321097,119.264304,13.052582429083344 km
93,"(-21.228789, 119.276288)",S0004433,-21.321097,119.264304,10.295790755989621 km
