,Unnamed: 0_x,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long,Unnamed: 0_y,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
0,24985,14.0,0.03,11.6,1.2,,1.6,0.007,0.025,-23.72231,119.290297,2271,"(-23.715655, 119.281652)",S0002505,-23.72231,119.290297,1.1490822602067268 km
1,24986,18.0,0.05,55.7,1.4,,4.4,0.053,0.11,-23.722511,119.290732,3573,"(-23.715655, 119.281652)",S0002505,-23.722511,119.290732,1.1974451584269783 km
2,24987,72.0,0.1,54.2,21.8,,14.9,0.076,0.07,-23.720042,119.286168,3473,"(-23.715655, 119.281652)",S0002505,-23.720042,119.286168,0.6694362586362227 km
3,24988,2560.0,1.56,127.5,790.0,,7.6,0.488,0.025,-23.718043,119.284555,822,"(-23.715655, 119.281652)",S0002505,-23.718043,119.284555,0.39696698159245797 km
4,24989,235.0,0.11,68.1,15.0,,14.1,0.026,0.12,-23.717327,119.283532,3704,"(-23.715655, 119.281652)",S0002505,-23.717327,119.283532,0.2665421695325017 km
5,24990,184.0,0.88,776.0,556.0,,9.7,0.025,0.05,-23.714802,119.279664,3603,"(-23.715655, 119.281652)",S0002505,-23.714802,119.279664,0.22365752303273762 km
6,24991,525.0,0.28,81.2,590.0,0.005,48.8,0.056,0.06,-23.709158,119.27184,1817,"(-23.715655, 119.281652)",S0002505,-23.709158,119.27184,1.2324647976541754 km
7,24992,103.0,1.84,43.6,766.0,,4.0,0.023,0.025,-23.709331,119.271716,2606,"(-23.715655, 119.281652)",S0002505,-23.709331,119.271716,1.2317572172996072 km
8,24993,1355.0,8.3,670.0,6420.0,,6.9,0.557,0.08,-23.709422,119.271668,947,"(-23.715655, 119.281652)",S0002505,-23.709422,119.271668,1.2301023173901589 km
9,24994,142.0,0.07,90.0,31.2,0.005,22.7,0.084,0.11,-23.697506,119.251256,1733,"(-23.715655, 119.281652)",S0002505,-23.697506,119.251256,3.6944926996933503 km
10,24995,47.0,0.36,101.5,95.6,0.005,7.3,0.03,0.1,-23.700995,119.257777,2085,"(-23.715655, 119.281652)",S0002505,-23.700995,119.257777,2.9264902501086314 km
11,24996,31.0,0.05,65.4,8.3,0.005,7.6,0.031,0.025,-23.726979,119.294428,2723,"(-23.715655, 119.281652)",S0002505,-23.726979,119.294428,1.8083598269090353 km
12,24997,68.0,0.15,205.0,17.5,0.005,3.6,0.127,0.18,-23.726545,119.29141,3904,"(-23.715655, 119.281652)",S0002505,-23.726545,119.29141,1.563578568537259 km
13,24998,72.0,0.12,125.0,14.3,0.01,4.8,0.081,0.06,-23.725898,119.290624,3781,"(-23.715655, 119.281652)",S0002505,-23.725898,119.290624,1.4573903596152162 km
14,24999,124.0,0.02,43.4,5.3,0.005,20.7,0.097,0.15,-23.725541,119.290961,1821,"(-23.715655, 119.281652)",S0002505,-23.725541,119.290961,1.4491030730844527 km
15,25000,966000.0,64.1,2520.0,542000.0,0.06,61.5,1.63,0.14,-23.723082,119.288731,948,"(-23.715655, 119.281652)",S0002505,-23.723082,119.288731,1.094393451288208 km
16,25001,302.0,0.38,121.5,173.5,0.005,4.7,0.054,0.09,-23.724492,119.289217,3705,"(-23.715655, 119.281652)",S0002505,-23.724492,119.289217,1.2461910697543088 km
17,25002,114.0,0.16,172.5,73.3,0.005,4.7,0.049,0.025,-23.723757,119.285213,2272,"(-23.715655, 119.281652)",S0002505,-23.723757,119.285213,0.9680170388405851 km
18,25003,55.0,0.17,89.7,39.8,0.005,3.6,0.056,0.025,-23.723096,119.285947,3702,"(-23.715655, 119.281652)",S0002505,-23.723096,119.285947,0.9332691839523578 km
19,25004,51.0,0.11,119.0,73.6,0.05,7.4,0.086,0.2,-23.723236,119.2869,2781,"(-23.715655, 119.281652)",S0002505,-23.723236,119.2869,0.9956676258120067 km
20,25005,455.0,1.08,99.4,473.0,0.005,9.4,0.016,0.025,-23.722703,119.288107,3950,"(-23.715655, 119.281652)",S0002505,-23.722703,119.288107,1.0210727468332796 km
21,25006,176000.0,29.9,737.0,,0.09,148.5,1.015,0.29,-23.722459,119.288122,2721,"(-23.715655, 119.281652)",S0002505,-23.722459,119.288122,1.00157222945532 km
22,25007,3750.0,12.3,140.5,178000.0,0.02,5.3,0.862,0.025,-23.720003,119.286344,2273,"(-23.715655, 119.281652)",S0002505,-23.720003,119.286344,0.6788356851820713 km
23,25008,116.0,0.2,65.1,297.0,0.01,9.1,0.045,0.025,-23.720067,119.286286,2718,"(-23.715655, 119.281652)",S0002505,-23.720067,119.286286,0.6797575305252344 km
24,25009,188.0,1.85,4220.0,3660.0,0.12,3.3,0.02,0.05,-23.717188,119.283147,834,"(-23.715655, 119.281652)",S0002505,-23.717188,119.283147,0.22818509521362307 km
25,25010,149.0,1.76,14000.0,119.5,0.005,31.5,0.059,0.12,-23.718009,119.281377,3706,"(-23.715655, 119.281652)",S0002505,-23.718009,119.281377,0.2622190649286643 km
26,25011,112.0,0.31,100.0,113.5,0.005,1.7,0.131,0.1,-23.714388,119.278961,2725,"(-23.715655, 119.281652)",S0002505,-23.714388,119.278961,0.30821107673467935 km
27,25012,112.0,2.46,579.0,2900.0,0.005,3.5,0.015,0.025,-23.714379,119.27898,818,"(-23.715655, 119.281652)",S0002505,-23.714379,119.27898,0.30694495850546627 km
28,25013,28.0,3.19,1895.0,80.7,0.005,0.6,0.124,0.08,-23.714238,119.278782,3602,"(-23.715655, 119.281652)",S0002505,-23.714238,119.278782,0.33209008947669183 km
29,25014,484.0,0.6,79.7,2410.0,0.005,9.9,0.014,0.025,-23.713368,119.277747,3508,"(-23.715655, 119.281652)",S0002505,-23.713368,119.277747,0.4719440915420979 km
30,25015,389.0,2.25,980.0,6150.0,0.005,1.3,0.094,0.025,-23.713386,119.277728,2782,"(-23.715655, 119.281652)",S0002505,-23.713386,119.277728,0.4725167732976748 km
31,25016,102.0,0.86,90.0,124.5,0.005,1.6,0.017,0.025,-23.713405,119.277708,2512,"(-23.715655, 119.281652)",S0002505,-23.713405,119.277708,0.47313342330953767 km
32,25017,36.0,0.02,8.0,35.7,0.005,8.9,0.008,0.025,-23.714253,119.271595,2027,"(-23.715655, 119.281652)",S0002505,-23.714253,119.271595,1.0372473982378216 km
33,25018,58.0,3.72,46.3,408.0,0.01,0.9,0.067,0.025,-23.712417,119.276142,1814,"(-23.715655, 119.281652)",S0002505,-23.712417,119.276142,0.6665759061110951 km
34,25019,166.0,0.65,46.7,480.0,0.005,5.0,0.005,0.025,-23.710715,119.274024,819,"(-23.715655, 119.281652)",S0002505,-23.710715,119.274024,0.9510165470894794 km
35,25020,219.0,20.8,497.0,1205.0,0.01,2.0,1.94,0.025,-23.71077,119.273957,2704,"(-23.715655, 119.281652)",S0002505,-23.71077,119.273957,0.953142105397726 km
