,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
0,"(-21.293719, 121.14488)",S0017100,-21.400841,121.181256,12.446433006181342 km
1,"(-21.295206, 121.146001)",S0018173,-21.400841,121.181256,12.254434073771199 km
2,"(-20.881552, 117.808023)",S0001357,-20.881126,117.840231,3.351650014495068 km
3,"(-20.87973, 117.809097)",S0001358,-20.881126,117.840231,3.2432703145175146 km
4,"(-20.847059, 117.8311)",S0001499,-20.881126,117.840231,3.889588615961408 km
5,"(-20.846503, 117.830694)",S0001500,-20.881126,117.840231,3.9596879199109907 km
6,"(-20.846503, 117.830694)",S0002306,-20.881126,117.840231,3.9596879199109907 km
7,"(-20.84886, 117.8496)",S0024592,-20.881126,117.840231,3.7029957075454165 km
8,"(-20.879308, 117.8028)",S0222892,-20.881126,117.840231,3.90001004365782 km
9,"(-24.638213, 118.585512)",S0001538,-24.642195,118.537429,4.8879643565580135 km
10,"(-20.881552, 117.808023)",S0001357,-20.882868,117.818086,1.0571614645074663 km
11,"(-20.87973, 117.809097)",S0001358,-20.882868,117.818086,0.9977677917601442 km
12,"(-20.847059, 117.8311)",S0001499,-20.882868,117.818086,4.189530401823205 km
13,"(-20.846503, 117.830694)",S0001500,-20.882868,117.818086,4.234549775682927 km
14,"(-20.846503, 117.830694)",S0002306,-20.882868,117.818086,4.234549775682927 km
15,"(-20.84886, 117.8496)",S0024592,-20.882868,117.818086,4.993146247424007 km
16,"(-20.879308, 117.8028)",S0222892,-20.882868,117.818086,1.6386553563244342 km
17,"(-20.881552, 117.808023)",S0001357,-20.880942,117.81197,0.4162108343760955 km
18,"(-20.87973, 117.809097)",S0001358,-20.880942,117.81197,0.3276796337510708 km
19,"(-20.847059, 117.8311)",S0001499,-20.880942,117.81197,4.246860787133849 km
20,"(-20.846503, 117.830694)",S0001500,-20.880942,117.81197,4.281944180374065 km
21,"(-20.846503, 117.830694)",S0002306,-20.880942,117.81197,4.281944180374065 km
22,"(-20.84886, 117.8496)",S0024592,-20.880942,117.81197,5.2868582009317695 km
23,"(-20.879308, 117.8028)",S0222892,-20.880942,117.81197,0.971166391919369 km
24,"(-20.757111, 117.704498)",S0001443,-20.739141,117.761152,6.226568191144757 km
25,"(-20.847059, 117.8311)",S0001499,-20.739141,117.761152,13.992538587063057 km
26,"(-20.846503, 117.830694)",S0001500,-20.739141,117.761152,13.917983184697116 km
27,"(-20.846503, 117.830694)",S0002306,-20.739141,117.761152,13.917983184697116 km
28,"(-24.638213, 118.585512)",S0001538,-24.673695,118.632676,6.183986771789996 km
29,"(-24.638213, 118.585512)",S0001538,-24.641685,118.669799,8.542070278932982 km
30,"(-25.540623, 119.328132)",S0223862,-25.499453,119.357039,5.40783877824554 km
31,"(-25.545412, 119.329808)",S0224795,-25.499453,119.357039,5.780528663541896 km
32,"(-25.540623, 119.328132)",S0225466,-25.499453,119.357039,5.40783877824554 km
33,"(-25.540623, 119.328132)",S0225668,-25.499453,119.357039,5.40783877824554 km
34,"(-25.54063, 119.328128)",S0225749,-25.499453,119.357039,5.4087087931307 km
35,"(-27.139858, 118.513817)",S0025428,-27.092626,118.603669,10.332546111028007 km
36,"(-27.321131, 118.141403)",S0017807,-27.446125,118.171906,14.175364041626567 km
37,"(-27.321131, 118.141403)",S0017807,-27.449777,118.175942,14.658884247095603 km
38,"(-27.139858, 118.513817)",S0025428,-27.050738,118.597014,12.868144354856971 km
39,"(-21.205698, 119.238599)",S0003148,-21.310634,119.177449,13.239056163116965 km
40,"(-21.228789, 119.276288)",S0004433,-21.310634,119.177449,13.687220060224488 km
41,"(-21.205698, 119.238599)",S0018892,-21.310634,119.177449,13.239056163116965 km
42,"(-21.079196, 116.927548)",S0001501,-21.067681,116.905739,2.600363594817879 km
43,"(-21.079069, 116.923897)",S0019518,-21.067681,116.905739,2.269452776998734 km
44,"(-21.066667, 116.936068)",S0022459,-21.067681,116.905739,3.153904092449073 km
45,"(-21.079069, 116.923897)",S0023122,-21.067681,116.905739,2.269452776998734 km
46,"(-24.638213, 118.585512)",S0001538,-24.650362,118.577047,1.5954236334032972 km
47,"(-24.638213, 118.585512)",S0001538,-24.675106,118.585264,4.0866335541845835 km
48,"(-20.881552, 117.808023)",S0001357,-20.839931,117.837436,5.532047374331791 km
49,"(-20.87973, 117.809097)",S0001358,-20.839931,117.837436,5.3022166196291876 km
50,"(-20.847059, 117.8311)",S0001499,-20.839931,117.837436,1.0284267712507635 km
51,"(-20.846503, 117.830694)",S0001500,-20.839931,117.837436,1.0108457746142678 km
52,"(-20.846503, 117.830694)",S0002306,-20.839931,117.837436,1.0108457746142678 km
53,"(-20.84886, 117.8496)",S0024592,-20.839931,117.837436,1.6062504253774272 km
54,"(-20.879308, 117.8028)",S0222892,-20.839931,117.837436,5.656733860262881 km
55,"(-24.638213, 118.585512)",S0001538,-24.652126,118.53755,5.094279486341453 km
56,"(-24.638213, 118.585512)",S0001538,-24.649869,118.537522,5.027084802468089 km
57,"(-23.40612, 116.933296)",S0003870,-23.407659,116.938339,0.5429074956663251 km
58,"(-23.400249, 116.924698)",S0003871,-23.407659,116.938339,1.6178954856113317 km
59,"(-28.847024, 117.032666)",S0033009,-28.938587,116.923505,14.709069405394255 km
60,"(-18.438029, 127.489408)",S0001362,-18.43142,127.348468,14.907205054372502 km
61,"(-18.43317, 127.308998)",S0001579,-18.43142,127.348468,4.17426243990862 km
62,"(-27.05574, 117.697197)",S0001380,-27.009654,117.580388,12.66555872508053 km
63,"(-27.05574, 117.697197)",S0001380,-27.007622,117.574068,13.330399409458233 km
64,"(-21.35585, 120.239098)",S0001335,-21.408941,120.197233,7.3077953365095825 km
65,"(-21.35585, 120.239098)",S0006042,-21.408941,120.197233,7.3077953365095825 km
66,"(-21.35585, 120.239098)",S0018064,-21.408941,120.197233,7.3077953365095825 km
67,"(-21.36072, 120.23042)",S0026554,-21.408941,120.197233,6.35220588626218 km
68,"(-21.34382, 120.25232)",S0026556,-21.408941,120.197233,9.199261579698438 km
69,"(-24.638213, 118.585512)",S0001538,-24.64012,118.648045,6.33454615394545 km
70,"(-24.638213, 118.585512)",S0001538,-24.639897,118.584819,0.19929127011954467 km
71,"(-24.638213, 118.585512)",S0001538,-24.644231,118.625378,4.090761417027837 km
72,"(-18.71044, 126.560997)",S0020554,-18.689243,126.583038,3.3030257938498058 km
73,"(-18.71044, 126.560997)",S0020554,-18.692727,126.603971,4.938678425790449 km
74,"(-18.71044, 126.560997)",S0020554,-18.693802,126.600478,4.553420802587081 km
75,"(-18.71044, 126.560997)",S0020554,-18.689694,126.619016,6.536446584237057 km
76,"(-18.71044, 126.560997)",S0020554,-18.709529,126.581755,2.1917310487150865 km
77,"(-18.71044, 126.560997)",S0020554,-18.708882,126.56875,0.835720901966707 km
78,"(-21.293719, 121.14488)",S0017100,-21.402029,121.178406,12.486298760134751 km
79,"(-21.295206, 121.146001)",S0018173,-21.402029,121.178406,12.295957892949179 km
80,"(-18.438029, 127.489408)",S0001362,-18.426154,127.516338,3.133944905911144 km
81,"(-18.364941, 127.486)",S0002287,-18.426154,127.516338,7.49546648017006 km
82,"(-18.31883, 127.543198)",S0005102,-18.426154,127.516338,12.213560213325037 km
83,"(-18.364941, 127.486)",S0018738,-18.426154,127.516338,7.49546648017006 km
84,"(-18.36684, 127.53437)",S0024078,-18.426154,127.516338,6.83606903426195 km
85,"(-20.77564, 118.781097)",S0022306,-20.664594,118.740402,13.004527162329598 km
86,"(-20.768925, 118.802339)",S0022810,-20.664594,118.740402,13.230496610540195 km
87,"(-21.205698, 119.238599)",S0003148,-21.240124,119.101052,14.779447104667426 km
88,"(-21.205698, 119.238599)",S0018892,-21.240124,119.101052,14.779447104667426 km
89,"(-21.228789, 119.276288)",S0004433,-21.263038,119.410369,14.424850793939495 km
90,"(-21.205698, 119.238599)",S0003148,-21.304643,119.191661,11.989645575734096 km
91,"(-21.228789, 119.276288)",S0004433,-21.304643,119.191661,12.15224467370002 km
92,"(-21.205698, 119.238599)",S0018892,-21.304643,119.191661,11.989645575734096 km
93,"(-21.01351, 121.05141)",S0026200,-21.04184,120.985437,7.541234271655171 km
94,"(-21.12281, 121.07571)",S0026212,-21.04184,120.985437,12.97549197697435 km
95,"(-24.638213, 118.585512)",S0001538,-24.617808,118.624048,4.509204335317682 km
96,"(-17.260722, 124.728005)",S0001542,-17.197963,124.620725,13.357615195304223 km
97,"(-17.17425, 124.633202)",S0002896,-17.197963,124.620725,2.9409085586324077 km
98,"(-17.260722, 124.727978)",S0017161,-17.197963,124.620725,13.355162416585852 km
99,"(-17.260736, 124.727992)",S0018712,-17.197963,124.620725,13.357239633404228 km
100,"(-17.2578, 124.73173)",S0025061,-17.197963,124.620725,13.536540554972282 km
101,"(-28.397473, 121.145223)",S0231974,-28.300081,121.048477,14.369066385800116 km
102,"(-21.01351, 121.05141)",S0026200,-20.917806,120.952399,14.774805286422575 km
103,"(-21.01351, 121.05141)",S0026200,-20.921531,120.949032,14.732801790285304 km
104,"(-18.43317, 127.308998)",S0001579,-18.464206,127.287608,4.111719417153407 km
105,"(-18.07011, 127.861702)",S0005094,-18.08681,127.842417,2.753926106972102 km
106,"(-18.0688, 127.86196)",S0030010,-18.08681,127.842417,2.8728768617018994 km
107,"(-18.07137, 127.86146)",S0030011,-18.08681,127.842417,2.6427346186080207 km
