,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY,PROJ_CODE,PROJ_TITLE,CONFIDENTI,POINT_CONF,LATITUDE,LONGITUDE,WEB_LINK,EXTRACT_DA
0,S0001179,Bonnie Rock BM,Bonnie Rock BM,"Pb, Ag, Zn, Mn",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00453,Gossan Dam - Bonnie Rock,Public,Public,-30.694559,118.315903,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001179,2021-07-28
1,S0001250,Manindi - Freddie Well Resource Group,Manindi Res Gp,"Zn, Cu",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00522,Manindi,Public,Public,-28.751856,118.683032,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001250,2021-07-28
2,S0001256,Gossan Hill Portal,Gossan Hill U/G,"Cu, Zn, Pb, Ag, Au",Mine,Decline,Operating,COPPER - LEAD - ZINC,BASE METAL,J00527,Golden Grove,Public,Public,-28.765087,116.962407,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001256,2021-07-28
3,S0001257,Scuddles Portal,Scuddles U/G,"Zn, Pb, Cu, Ag, Au",Mine,Decline,Operating,COPPER - LEAD - ZINC,BASE METAL,J00527,Golden Grove,Public,Public,-28.744567,116.945103,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001257,2021-07-28
4,S0001335,Hammerhead - Lennons Find,Hammerhead,"Zn, Pb, Ag",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00563,Lennons Find,Public,Public,-21.35585,120.239098,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001335,2021-07-28
5,S0001357,Mons Cupri Oxide,Mons Cupri Ox,"Cu, Zn, Pb, Ag, Au",Mine,Openpit,Shut,COPPER - LEAD - ZINC,BASE METAL,J00711,Whim Creek - Mons Cupri,Public,Public,-20.881552,117.808023,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001357,2021-07-28
6,S0001358,Mons Cupri Sulphide,Mons Cupri Sulphide,"Cu, Zn, Pb, Ag, Au",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00711,Whim Creek - Mons Cupri,Public,Public,-20.87973,117.809097,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001358,2021-07-28
7,S0001362,Mt Angelo North,Mt Angelo N,"Cu, Zn, Pb, Ag, Au",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00586,Halls Creek Copper,Public,Public,-18.438029,127.489408,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001362,2021-07-28
8,S0001380,Mt Mulcahy - South Limb Pod,Mt Mulcahy,"Cu, Zn, Co, Ag, Au",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00603,Mt Mulcahy,Public,Public,-27.05574,117.697197,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001380,2021-07-28
9,S0001426,Range,Range,"Pb, Cu, Zn, Ag",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00644,Range and Turtle - Copper Ridge,Public,Public,-22.20624,115.419296,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001426,2021-07-28
10,S0001443,Salt Creek,Salt Creek,"Zn, Pb, Cu, Ag, Au",Deposit,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J00657,Salt Creek,Public,Public,-20.757111,117.704498,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001443,2021-07-28
11,S0001459,Sorby Pod D-E,Pod E,"Pb, Zn, Ag",Mine,Openpit,Proposed,COPPER - LEAD - ZINC,BASE METAL,J00673,Sorby Hills,Public,Public,-15.452713,128.980874,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001459,2021-07-28
12,S0001499,Whim Creek Oxide,Whim Creek Ox,"Cu, Zn, Pb, Ag, Au",Mine,Openpit,Shut,COPPER - LEAD - ZINC,BASE METAL,J00711,Whim Creek - Mons Cupri,Public,Public,-20.847059,117.8311,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001499,2021-07-28
13,S0001500,Whim Creek Sulphide,Whim Creek Sulphide,"Cu, Zn, Pb, Ag, Au",Mine,Openpit,Shut,COPPER - LEAD - ZINC,BASE METAL,J00711,Whim Creek - Mons Cupri,Public,Public,-20.846503,117.830694,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001500,2021-07-28
14,S0001501,Whundo,Whundo,"Cu, Zn, Ag",Mine,Openpit,Shut,COPPER - LEAD - ZINC,BASE METAL,J00712,Whundo Base Metals,Public,Public,-21.079196,116.927548,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001501,2021-07-28
15,S0001538,Abra Underground,Abra UG,"Pb, Cu, Zn, Au, Ag",Mine,Decline,Under Development,COPPER - LEAD - ZINC,BASE METAL,J00545,Abra - Mulgul,Public,Public,-24.638213,118.585512,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001538,2021-07-28
16,S0001542,Narlarla,Narlarla,"Zn, Pb, Cu, Ag",Mine,Openpit,Shut,COPPER - LEAD - ZINC,BASE METAL,J00743,Narlarla - Devonian,Public,Public,-17.260722,124.728005,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001542,2021-07-28
17,S0001544,Cadjebut,Cadjebut,"Zn, Pb",Mine,Decline,Shut,COPPER - LEAD - ZINC,BASE METAL,J00638,Lennard Shelf / Northwest,Public,Public,-18.713511,125.963799,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001544,2021-07-28
18,S0001545,Pillara,Pillara,"Zn, Pb, Ag",Mine,Decline,Care and Maintenance,COPPER - LEAD - ZINC,BASE METAL,J04047,Lennard Shelf / Teck-Xstrata,Public,Public,-18.321529,125.778999,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001545,2021-07-28
19,S0001546,Goongewa - Goongewa South,Goongewa,"Zn, Pb, Ag, SulSpec",Mine,Decline,Shut,COPPER - LEAD - ZINC,BASE METAL,J00638,Lennard Shelf / Northwest,Public,Public,-18.629141,125.858002,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001546,2021-07-28
