,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
396,107.0,0.16,270.0,5.8,0.0015,38.4,0.155,0.14,-22.509657,117.683133
397,110.0,0.07,280.0,5.4,0.001,37.2,0.151,0.15,-22.509684,117.683172
398,107.0,0.1,305.0,5.7,0.0018,37.4,0.143,0.14,-22.509693,117.683221
399,55.0,0.07,78.4,44.0,0.084799995,10.5,0.513,0.14,-22.509729,117.683279
400,55.0,0.09,84.2,47.0,0.12700001,14.6,0.543,0.15,-22.509738,117.683328
401,62.0,0.09,69.2,38.5,0.0526,14.0,0.502,0.14,-22.509747,117.683357
402,152.0,0.17,318.0,2.4,0.0019,46.9,0.13,0.18,-22.509783,117.683435
403,98.0,0.3,367.0,7.5,0.0031000001,40.0,0.144,0.14,-22.509791,117.683493
404,118.0,0.26,487.0,2.9,0.0022,48.5,0.141,0.14,-22.5098,117.683552
405,109.0,0.1,301.0,5.2,0.0013,41.9,0.146,0.15,-22.508784,117.684529
406,117.0,0.09,263.0,5.7,0.0006,42.2,0.152,0.16,-22.508838,117.684529
407,120.0,0.05,278.0,6.3,0.0012,44.3,0.179,0.17,-22.508902,117.684539
408,53.0,0.11,114.5,51.0,0.0105,15.6,0.441,0.14,-22.508983,117.68453
409,55.0,0.1,124.0,51.0,0.0026,17.2,0.562,0.19,-22.50901,117.68451
410,54.0,0.09,155.5,48.0,0.0018,20.1,0.439,0.15,-22.509037,117.684491
411,138.0,0.17,299.0,8.6,0.0015,49.9,0.174,0.16,-22.509137,117.684453
412,120.0,0.14,282.0,2.7,0.0012,45.6,0.128,0.14,-22.509209,117.684424
413,123.0,0.07,206.0,4.3,0.00079999995,45.4,0.129,0.17,-22.509282,117.684376
414,132.0,0.06,367.0,3.9,0.0007,48.2,0.15,0.21,-22.512926,117.687787
415,89.0,0.06,280.0,9.5,0.001,43.3,0.154,0.14,-22.512944,117.687787
416,100.0,0.12,317.0,50.8,0.0005,46.1,0.162,0.15,-22.512962,117.687806
417,55.0,0.06,62.5,27.8,0.0136,7.4,0.351,0.15,-22.512692,117.687552
418,64.0,0.1,54.5,28.8,0.216,7.6,0.507,0.15,-22.512773,117.68764
419,57.0,0.1,60.2,34.9,0.042399998,9.8,0.357,0.14,-22.512854,117.687718
420,124.0,0.03,135.5,8.3,0.0019,41.0,0.13,0.25,-22.512566,117.687425
421,126.0,0.52,342.0,13.2,0.0017,45.6,0.115,0.21,-22.512584,117.687454
422,120.0,0.05,248.0,5.9,0.0014,49.0,0.124,0.21,-22.512602,117.687484
423,78.0,0.06,206.0,25.7,0.0011,30.1,0.148,0.16,-22.513888,117.680276
424,92.0,0.15,173.0,24.1,0.00079999995,26.2,0.182,0.19,-22.513906,117.680305
425,106.0,0.06,268.0,16.6,0.0007,36.0,0.153,0.18,-22.513924,117.680334
426,82.0,0.1,82.0,43.5,0.136,12.6,0.695,0.18,-22.513987,117.680403
427,80.0,0.14,83.8,43.9,0.214,13.1,0.676,0.18,-22.514032,117.680481
428,63.0,0.15,73.0,49.0,0.213,11.6,0.635,0.17,-22.514077,117.680549
429,118.0,0.2,336.0,3.9,0.002,47.0,0.161,0.18,-22.514112,117.680617
430,132.0,1.4,333.0,2.3,0.0025,48.8,0.105,0.2,-22.514121,117.680637
431,96.0,0.14,226.0,4.9,0.0013,38.9,0.126,0.18,-22.514121,117.680646
432,102.0,0.1,57.7,3.3,0.0003,57.3,0.08,0.21,-22.517791,117.682201
433,123.0,0.05,137.0,2.4,0.00079999995,35.0,0.12,0.18,-22.505228,117.690238
434,81.0,0.09,89.3,6.4,0.0015,33.6,0.093,0.14,-22.505862,117.681277
435,64.0,0.08,44.9,6.0,0.00079999995,7.7,0.039,0.09,-22.514743,117.685297
436,48.0,0.34,107.0,39.7,0.0045,14.0,0.513,0.19,-22.508983,117.68453
437,57.0,0.09,70.0,46.0,0.0359,10.2,0.364,0.19,-22.512854,117.687718
438,44.0,0.06,25.4,3.9,0.0009,2.0,0.014,0.1,-22.514743,117.685297
439,122.0,0.04,141.0,3.0,4.9999997e-05,39.3,0.122,0.2,-22.505228,117.690238
440,45.0,1.0,277.0,25.0,0.298,10.0,0.37,0.22,-22.515769,117.677621
441,136.0,1.0,207.0,8.0,0.0083,41.0,0.13,0.26,-22.505516,117.681868
442,133.0,1.0,139.5,7.0,0.0585,31.4,0.109,0.31,-22.504968,117.687602
443,64.0,1.0,126.5,26.0,0.0199,8.9,0.217,0.19,-22.516255,117.690759
444,125.0,1.0,80.0,40.5,0.0249,5.9,0.267,0.24,-22.513635,117.684504
445,112.0,1.0,67.0,6.0,0.0023,58.5,0.069,0.23,-22.515183,117.685853
446,105.0,1.0,166.0,11.0,0.0076,32.7,0.1,0.17,-22.51373,117.685632
4286,31.0,2.6,13.0,9.0,0.003,,0.005,2.3,-22.82298,114.177669
4287,1344.0,1.1,32.0,2.0,0.002,,0.03,6.6,-23.096282,114.169016
4288,365.0,0.5,45.0,2.0,0.002,,0.03,6.3,-23.096811,114.169307
4289,442.0,15.3,70.0,5.0,0.01,,0.005,5.0,-23.097998,114.169565
4290,349.0,35.4,90.0,6.0,0.018,,0.005,6.1,-23.100411,114.16972
4291,430.0,5.4,53.0,8.0,0.018,,0.005,5.3,-23.103184,114.169378
4292,317.0,16.7,60.0,6.0,0.01,,0.01,6.0,-23.102111,114.16944
4293,284.0,5.8,52.0,8.0,0.01,,0.005,4.1,-23.100735,114.169713
4294,109.0,0.05,21.0,17.0,0.0,,0.005,2.2,-23.103524,114.16528
4295,518.0,83.4,88.0,9.0,0.027,,0.005,6.5,-23.1051,114.16914
4296,25.0,0.3,6.0,9.0,0.0,,0.03,1.2,-23.05661,114.183557
4297,99.0,0.7,24.0,10.0,0.001,,0.005,2.8,-22.829118,114.180682
4298,316.0,2.1,42.0,15.0,0.034,,0.02,4.5,-23.099157,114.169879
4299,110.0,2.1,22.0,7.0,0.018,,0.005,3.4,-23.098431,114.170197
4300,379.0,35.7,73.0,11.0,0.006,,0.005,5.6,-23.097604,114.169863
4301,303.0,8.4,68.0,6.0,0.008,,0.005,4.9,-23.096892,114.1694
4302,279.0,26.6,65.0,15.0,0.007,,0.005,5.1,-23.094709,114.169465
4303,237.0,25.3,44.0,11.0,0.013,,0.005,3.6,-23.094376,114.16956
4304,293.0,23.9,46.0,8.0,0.027,,0.005,4.0,-23.093741,114.169388
4305,164.0,14.4,40.0,13.0,0.006,,0.02,4.3,-23.092527,114.16912
4306,515.0,25.2,60.0,15.0,0.02,,0.02,4.2,-23.091535,114.168663
4307,280.0,34.6,57.0,11.0,0.009,,0.02,3.2,-23.090661,114.168711
5854,37.0,0.03,35.7,1.0,0.002,42.6,0.061,0.3,-15.626826,126.394803
5855,8.0,0.02,18.7,0.5,0.001,14.6,0.034,0.18,-15.626781,126.394813
5856,42.0,0.03,33.3,0.4,0.001,64.7,0.079,0.32,-15.626826,126.394803
5857,10.0,0.09,32.3,0.6,0.005,6.4,0.028,0.1,-15.626799,126.394822
5858,35.0,0.1,88.2,1.0,0.001,23.5,0.078,0.39,-15.626827,126.394831
5859,34.0,0.14,212.0,3.6,0.001,4.2,0.046,0.89,-15.625719,126.395152
5860,25.0,0.09,88.4,4.6,0.001,3.9,0.031,0.38,-15.625792,126.395189
5861,188.0,0.21,229.0,72.0,0.0005,15.1,0.09,0.97,-15.627821,126.384295
5862,149.0,0.15,124.5,71.8,0.0005,15.9,0.071,0.69,-15.627803,126.384295
5863,150.0,0.19,211.0,59.4,0.001,12.3,0.072,1.11,-15.62774,126.384333
5864,144.0,0.16,275.0,38.0,0.001,11.7,0.099,0.62,-15.627569,126.384363
5865,162.0,0.16,227.0,53.8,0.0005,8.4,0.083,0.63,-15.626975,126.384529
5866,153.0,0.11,264.0,80.0,0.001,16.0,0.03,0.5,-15.626505,126.384554
5867,47.0,0.03,44.2,14.7,0.001,5.1,0.065,0.11,-15.628028,126.385001
5868,21.0,0.13,79.9,35.3,0.003,12.1,0.132,0.36,-15.634039,126.349326
11748,17.5,0.15,2.0,3.5,0.01,0.9,0.05,0.1,-17.84075,126.751452
11749,51.0,0.2,19.0,14.0,0.0001,11.1,0.05,0.4,-17.84075,126.751452
11750,25.0,0.15,41.0,22.0,0.0046,2.0,0.05,0.1,-17.84075,126.751452
11751,6.5,0.1,6.5,2.5,0.0014,0.8,0.05,0.05,-17.84075,126.751452
11752,12.0,0.1,8.0,28.0,0.0098,2.7,0.05,0.05,-17.84075,126.751452
11753,1.0,0.1,2.2,1.5,0.0018,0.8,0.05,0.05,-17.84075,126.751452
11754,15.5,0.15,280.0,4.0,0.0012,1.1,0.05,0.1,-17.84075,126.751452
11755,11.5,0.05,22.0,7.0,0.0072,1.0,0.05,0.05,-17.84075,126.751452
11756,39.0,0.1,30.0,11.5,0.0006,1.4,0.05,0.05,-17.84075,126.751452
11757,26.0,0.1,5.5,16.5,0.001,1.9,0.05,0.5,-17.84075,126.751452
11758,7.5,0.3,47.0,83.0,0.0026,1.3,0.05,0.4,-17.84075,126.751452
11759,51.0,0.025,7.0,33.0,0.0004,10.6,0.05,0.9,-17.84075,126.751452
11760,57.0,0.025,5.5,41.0,0.0006,10.3,0.05,1.0,-17.84075,126.751452
11761,10.5,0.05,1.0,3.5,0.0014,0.9,0.05,0.2,-17.849717,126.7583
